Correct,TestValue,StartTime,EndTime,Target
-1,-1,1684694897500,1684694902511,-1
1,16,1684694979410,1684694979966,2
1,16,1684694983010,1684694983477,1
0,2,1684694986377,1684694986866,1
1,4,1684694990476,1684694991033,2
1,16,1684694994310,1684694994899,2
1,4,1684694998032,1684694998532,3
0,16,1684695001921,1684695002532,1
1,16,1684695005710,1684695006265,1
1,8,1684695009554,1684695010165,3
1,16,1684695013121,1684695013654,2
1,8,1684695016465,1684695017021,1
1,16,1684695020266,1684695020877,3
1,16,1684695024210,1684695024732,2
1,4,1684695028077,1684695028644,3
1,16,1684695031721,1684695032376,1
0,16,1684695035465,1684695036009,1
1,4,1684695039309,1684695039821,2
1,16,1684695043298,1684695043898,3
1,2,1684695046909,1684695047443,2
0,2,1684695050809,1684695051588,3
1,16,1684695054576,1684695055121,2
1,4,1684695058120,1684695058676,3
1,8,1684695061887,1684695062521,1
1,8,1684695065743,1684695066309,3
1,8,1684695070020,1684695070565,3
1,16,1684695074298,1684695074932,3
1,16,1684695078487,1684695079010,3
1,8,1684695081997,1684695082476,2
1,16,1684695086209,1684695086765,1
1,2,1684695090353,1684695090931,3
0,8,1684695093843,1684695094364,1
1,2,1684695097742,1684695098421,1
1,16,1684695101944,1684695102476,3
1,4,1684695105376,1684695105821,2
0,4,1684695109265,1684695109865,3
1,4,1684695112709,1684695113298,1
1,2,1684695116130,1684695116665,2
1,16,1684695120353,1684695120876,1
0,2,1684695124209,1684695124764,1
0,2,1684695127664,1684695128164,3
1,8,1684695131020,1684695131609,1
1,8,1684695134620,1684695135221,3
1,2,1684695138042,1684695138620,3
1,4,1684695142297,1684695142954,2
1,16,1684695146142,1684695146731,3
0,8,1684695150253,1684695151120,1
1,8,1684695154731,1684695155287,1
1,16,1684695158086,1684695158564,1
1,8,1684695161820,1684695162354,1
1,16,1684695165598,1684695166187,3
0,16,1684695169353,1684695169876,1
1,4,1684695172953,1684695173442,3
1,4,1684695176208,1684695176842,1
0,2,1684695180175,1684695180820,3
1,2,1684695184408,1684695184919,2
0,16,1684695187764,1684695188364,2
1,8,1684695191776,1684695192331,1
1,4,1684695195842,1684695196508,2
1,2,1684695199886,1684695200442,2
0,4,1684695203442,1684695204186,1
1,4,1684695207786,1684695208309,2
1,16,1684695211475,1684695212053,1
1,2,1684695215708,1684695216409,3
1,16,1684695219297,1684695219875,3
1,2,1684695223531,1684695224019,2
1,16,1684695227253,1684695227830,1
1,4,1684695231319,1684695231797,2
1,16,1684695235463,1684695235986,2
1,2,1684695239708,1684695240309,3
1,8,1684695243608,1684695244164,3
1,4,1684695247741,1684695248253,2
1,8,1684695251719,1684695252309,1
1,4,1684695256009,1684695256619,3
