CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,-30,789.647499998333,3,79423828,1677186352.88101
1,2,-15,547.119899998885,1,79437046,1677186366.10253
1,2,30,699.103500006837,3,79441437,1677186370.50191
1,2,-15,976.104500001762,2,79446281,1677186375.33714
1,2,0,586.358400000259,1,79467875,1677186396.93442
0,2,15,617.13110000384,2,79472015,1677186401.07203
1,2,15,809.235899996944,2,79481046,1677186410.1018
1,2,30,681.069499998935,3,79494453,1677186423.50391
1,2,-30,805.926099998411,2,79498578,1677186427.63524
1,2,0,596.184300008113,1,79511578,1677186440.63668
1,2,0,652.451600003056,2,79528343,1677186457.39795
1,2,30,656.41229999566,3,79533046,1677186462.10471
1,2,15,665.857299998985,1,79554296,1677186483.35151
1,2,-30,607.595899997628,6,79681843,1677186610.90563
1,2,-30,707.934400005266,6,79708171,1677186637.23638
1,2,30,668.931699994951,6,79720953,1677186650.00404
1,2,0,548.685099999071,5,79759078,1677186688.1393
1,2,15,626.258900007466,4,79771406,1677186700.47049
1,2,15,584.375399991055,6,79775812,1677186704.86469
1,2,-15,505.735499999369,6,79784328,1677186713.38885
1,2,-15,560.500799995149,4,79797484,1677186726.544
