CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,-30,579.77780000912,3,506064140,1677104167.15955
0,2,15,482.336899960879,3,506072937,1677104175.95119
1,2,30,644.790199989453,1,506089281,1677104192.28922
1,2,30,342.122700003907,3,506116484,1677104219.49774
1,2,-15,690.93859998649,1,506127968,1677104230.98074
1,2,-15,799.158899983391,3,506132015,1677104235.02998
1,2,0,410.772999978159,3,506136140,1677104239.15398
1,2,0,416.73150000535,3,506139968,1677104242.98798
1,2,-15,474.840800041799,1,506144500,1677104247.52098
1,2,30,518.440400014166,1,506148593,1677104251.60498
1,2,15,461.760199974757,1,506187156,1677104290.1732
1,2,-15,673.74319996126,2,506191140,1677104294.15259
1,2,15,475.052500023972,4,506309875,1677104412.8871
1,2,15,503.85630002385,5,506318140,1677104421.1541
1,2,0,360.686299969908,5,506322281,1677104425.3011
1,2,-30,550.66840001056,6,506330515,1677104433.5351
0,2,-30,423.897599972785,5,506386906,1677104489.91582
1,2,-30,530.336599968374,5,506390984,1677104493.99182
1,2,0,522.631100026425,5,506395828,1677104498.8409
1,2,-30,823.611600030214,4,506412734,1677104515.75178
1,2,15,664.720500001218,6,506430343,1677104533.35876
1,2,30,491.148199999239,5,506435078,1677104538.08696
