CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,0,594.656499987119,1,77016593,1677184254.8994
1,4,15,485.537500001024,1,77029187,1677184267.49501
1,4,0,623.293699998991,3,77038140,1677184276.45383
1,4,-30,665.573900009273,2,77056281,1677184294.59083
1,4,-30,630.150599998538,2,77060578,1677184298.88984
1,4,30,744.963700006716,3,77074359,1677184312.66552
1,4,-15,619.521100012586,1,77096593,1677184334.90709
1,4,15,528.727399996947,1,77114984,1677184353.29109
1,4,-30,576.828200003016,2,77119750,1677184358.05509
1,4,30,421.835300000035,3,77146156,1677184384.46209
1,4,0,494.159599995706,4,77261625,1677184499.93481
1,4,15,501.645099994144,4,77266187,1677184504.50381
1,4,-15,550.29410001263,4,77279187,1677184517.50296
1,4,30,618.701800002251,5,77283312,1677184521.62496
1,4,0,506.841700011515,5,77328140,1677184566.44696
1,4,15,560.818399997894,4,77336140,1677184574.45796
1,4,30,749.453199994983,6,77354500,1677184592.81596
1,4,-15,587.386700001312,5,77358781,1677184597.08996
1,4,-30,562.562499992433,4,77363609,1677184601.91696
1,4,-15,549.425799992983,4,77377359,1677184615.66796
