CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,15,478.167699995916,1,79964312,1677187202.61637
1,4,0,450.635600002366,3,79968546,1677187206.86005
1,4,-15,556.245299998787,1,79987984,1677187226.28956
1,4,30,752.469499999657,1,79997000,1677187235.3047
1,4,-15,659.440899992129,2,80002078,1677187240.3897
1,4,0,490.778200004948,1,80010812,1677187249.12257
1,4,-30,761.996700003161,2,80015375,1677187253.68176
1,4,15,712.771799994167,2,80030015,1677187268.32676
1,4,0,562.521299998858,1,80038875,1677187277.18085
1,4,-30,666.617699997383,1,80066515,1677187304.82485
1,4,30,608.864899997949,2,80083750,1677187322.05385
1,4,0,554.70079999615,1,80096531,1677187334.83524
0,4,-15,869.246799990302,2,80100812,1677187339.12024
1,4,15,577.155099989264,3,80114421,1677187352.737
1,4,15,731.385199990124,6,80240500,1677187478.80209
1,4,-15,732.960499994457,6,80253921,1677187492.23184
1,4,30,429.439600000856,6,80258640,1677187496.94284
1,4,-30,773.178500003647,6,80286718,1677187525.03079
1,4,-15,744.156099998159,6,80329078,1677187567.38114
1,4,30,645.265099996701,4,80351156,1677187589.46326
1,4,-30,939.366000002716,6,80366218,1677187604.52826
