CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,30,556.6842000084,2,168440421,1677275366.67439
0,2,30,526.229100007564,3,168465203,1677275391.45658
1,2,30,543.799000003142,1,168469328,1677275395.57469
1,2,0,463.786400007317,2,168477984,1677275404.22333
1,2,-15,487.920499985572,3,168490046,1677275416.28606
1,2,-15,597.699000002118,2,168502453,1677275428.70666
1,2,-30,588.865399997681,1,168515062,1677275441.30828
1,2,-15,424.588999998756,1,168519390,1677275445.63978
1,2,30,613.514000022784,2,168528234,1677275454.47537
1,2,15,444.890000010142,5,168677953,1677275604.19341
0,2,-30,496.33740001847,6,168698765,1677275625.00819
1,2,0,469.715700015891,4,168706625,1677275632.87525
1,2,15,648.179999985965,4,168714328,1677275640.57655
0,2,15,509.718799989438,5,168727765,1677275654.00981
1,2,15,382.832100000465,4,168736796,1677275663.04146
1,2,15,819.855400008615,6,168748687,1677275674.94091
1,2,0,649.238599984907,6,168761734,1677275687.9757
1,2,-30,463.461599978851,6,168766125,1677275692.37671
1,2,30,480.314299984835,6,168773859,1677275700.11214
0,2,-30,476.338300006697,4,168785359,1677275711.61221
1,2,-30,603.441099982243,4,168788921,1677275715.17078
1,2,-15,397.200700008776,4,168792906,1677275719.14816
1,2,-30,547.183000013698,6,168805234,1677275731.47731
1,2,0,558.091799987247,5,168813359,1677275739.61005
