CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,15,493.887999993982,2,87552687,1677194790.99687
0,4,0,427.578100000042,3,87561515,1677194799.83166
1,4,-30,571.934000003617,3,87574859,1677194813.16597
1,4,0,466.716299994383,1,87579484,1677194817.79915
1,4,-30,499.856299993931,1,87583828,1677194822.13415
1,4,30,539.760800002492,1,87588671,1677194826.97718
0,4,15,524.014800012461,3,87592640,1677194830.94418
1,4,-15,611.046800008276,2,87605562,1677194843.87918
1,4,-15,420.435500007821,1,87618640,1677194856.95218
1,4,0,550.822499990696,2,87623281,1677194861.58918
1,4,-15,594.903499990702,2,87627656,1677194865.96069
1,4,15,592.25939999707,2,87653171,1677194891.47582
1,4,30,587.623499999987,2,87658031,1677194896.34782
1,4,-30,648.07500000135,1,87663000,1677194901.30782
1,4,15,471.002099988633,2,87681328,1677194919.63482
1,4,-15,462.491299997433,5,87850281,1677195088.59772
1,4,30,561.49859999679,5,87877234,1677195115.54453
1,4,30,534.288099992787,4,87881890,1677195120.19653
1,4,0,527.017000011634,5,87886531,1677195124.83553
1,4,0,460.24079998862,4,87891250,1677195129.56553
1,4,-30,631.625200007344,5,87909437,1677195147.74553
1,4,15,574.434399994439,5,87944296,1677195182.60196
