CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
0,4,30,516.944500003243,2,80126281,1677187055.3411
1,4,30,553.020799994934,1,80130062,1677187059.1251
1,4,30,567.759099995252,2,80134250,1677187063.31316
1,4,30,610.792599993525,2,80138578,1677187067.62931
1,4,-15,480.095299990731,3,80151625,1677187080.67993
1,4,0,549.136199999717,3,80164390,1677187093.44406
1,4,15,529.40720000735,3,80177484,1677187106.54877
1,4,-30,656.928599998006,2,80181718,1677187110.77598
1,4,15,592.72409999941,2,80199750,1677187128.80772
1,4,0,631.324300000793,3,80203984,1677187133.0414
1,4,-30,674.124099994893,2,80212265,1677187141.31814
1,4,15,636.046000010916,1,80244000,1677187173.0605
1,4,15,582.320099998848,5,80358968,1677187288.02079
1,4,-15,1059.09249999642,5,80389203,1677187318.26663
1,4,0,573.838900000206,6,80393421,1677187322.4727
1,4,-15,558.668100009905,6,80397578,1677187326.63027
1,4,0,505.785700003267,6,80402312,1677187331.3628
1,4,30,537.853800004465,4,80410718,1677187339.77229
1,4,-15,619.128699993249,5,80418703,1677187347.76224
1,4,-30,586.490099999006,4,80469625,1677187398.67784
1,4,-30,604.974600002985,6,80477312,1677187406.37124
