CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,0,462.355700027198,3,507635437,1677105738.44524
1,4,30,421.015099968296,3,507662765,1677105765.77731
1,4,-15,415.498799990397,2,507689359,1677105792.37872
1,4,15,383.968400008976,2,507694156,1677105797.17689
1,4,-30,604.118300016504,3,507702656,1677105805.67685
1,4,0,415.096500012092,2,507707656,1677105810.66593
1,4,15,411.674699975643,3,507723781,1677105826.7916
1,4,0,457.195300023537,3,507728421,1677105831.43463
1,4,30,417.252200012095,4,507874656,1677105977.67394
1,4,-15,428.725199945271,4,507890671,1677105993.69346
1,4,15,361.128400018439,4,507904203,1677106007.21703
1,4,30,506.173900034279,5,507908171,1677106011.18703
1,4,30,464.434600024484,4,507933593,1677106036.6157
1,4,-30,967.480700052343,5,507942500,1677106045.5177
1,4,-15,444.863999957684,5,507946953,1677106049.9707
1,4,0,471.166100000497,5,507950781,1677106053.7937
1,4,15,435.208900013473,5,507960046,1677106063.06369
1,4,-30,449.102599985432,6,507969171,1677106072.18534
1,4,-30,513.325800010003,5,507977609,1677106080.61984
1,4,-15,527.447399971075,6,508004781,1677106107.80269
