CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,80563421,1677187801.73448
420.69,8,0,10000,2,80581031,1677187819.33845
420.69,8,0,10000,3,80597265,1677187835.57045
0,8,0,903.579700007336,2,80664140,1677187902.44712
1,8,-15,640.48779999977,3,80682171,1677187920.47819
1,8,15,553.304500001483,2,80686484,1677187924.78819
1,8,30,511.888699995703,1,80690406,1677187928.70981
1,8,15,514.571799995261,1,80707890,1677187946.19795
1,8,-15,410.423899997491,1,80711718,1677187950.02995
1,8,-15,430.189500006614,1,80716250,1677187954.56496
1,8,0,667.095699999132,3,80756171,1677187994.48174
1,8,-30,478.310100003378,1,80784328,1677188022.63462
1,8,30,810.006000010995,2,80788171,1677188026.48861
1,8,30,1048.01819999958,2,80797187,1677188035.49676
420.69,8,0,5000,4,80847984,1677188086.28979
420.69,8,0,5000,5,80857546,1677188095.85479
420.69,8,0,5000,6,80867046,1677188105.35479
1,8,0,679.776400004281,5,80932453,1677188170.7653
1,8,0,673.726100005675,5,80937093,1677188175.4093
0,8,-30,727.952199999359,5,80945968,1677188184.28383
1,8,15,587.816299998318,5,80955125,1677188193.43957
1,8,-15,750.315099995001,6,80959375,1677188197.68173
1,8,-30,809.843000006746,4,80963843,1677188202.15772
1,8,0,609.141100005596,5,80973625,1677188211.93371
1,8,-30,551.244400001829,4,81000296,1677188238.6068
1,8,-30,533.32759999868,4,81009718,1677188248.03236
1,8,15,926.557200011681,6,81033093,1677188271.40264
1,8,30,787.061699997517,5,81066375,1677188304.68869
