CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,81336453,1677188265.51545
420.69,8,0,10000,2,81350156,1677188279.21551
420.69,8,0,10000,3,81363296,1677188292.35744
1,8,0,445.626699988148,1,81438156,1677188367.21562
1,8,30,492.755399999092,1,81447000,1677188376.06414
1,8,-15,495.823999994551,1,81451656,1677188380.71688
1,8,0,374.099000004586,1,81459562,1677188388.61499
1,8,-15,541.510200008284,2,81467718,1677188396.7838
1,8,15,474.256600002642,2,81475500,1677188404.56331
1,8,15,477.698099999921,2,81484140,1677188413.1971
1,8,-30,524.548300000257,3,81496640,1677188425.69445
1,8,-30,563.778600011952,3,81513296,1677188442.35153
1,8,0,509.561900002533,2,81526218,1677188455.26831
1,8,-30,603.212600003113,2,81543703,1677188472.75272
420.69,8,0,5000,4,81585578,1677188514.63985
420.69,8,0,5000,5,81593343,1677188522.40637
420.69,8,0,5000,6,81600750,1677188529.80697
1,8,-30,545.916799991042,4,81676828,1677188605.88269
1,8,30,582.1134999973,6,81689921,1677188618.98302
1,8,15,828.259500002256,6,81711296,1677188640.3525
0,8,0,604.284299999941,5,81731500,1677188660.55272
1,8,0,645.543799994281,6,81740718,1677188669.7837
1,8,30,567.43579999276,4,81748484,1677188677.54136
1,8,15,573.865199996741,6,81752890,1677188681.95144
1,8,30,481.001199991093,4,81757234,1677188686.29186
1,8,-15,657.746099994634,6,81770171,1677188699.22692
1,8,-15,585.847900012974,5,81778593,1677188707.65079
