CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,-15,407.812699846923,3,-1181342609,1677104580.29021
1,4,-15,463.867499664426,2,-1181338859,1677104584.03456
1,8,-15,428.065400276333,3,-1181295171,1677104627.73357
1,2,-15,466.737999752164,1,-1181278265,1677104644.63083
1,8,-15,363.903199959546,1,-1181266046,1677104656.86185
1,2,-15,560.277200009674,4,-1181147250,1677104775.64921
1,4,-15,452.494399793446,6,-1181094234,1677104828.66114
1,4,-15,517.639200374484,5,-1181078187,1677104844.71569
1,8,-15,436.904600061476,4,-1181061640,1677104861.26039
1,8,-15,477.574299726635,6,-1181049765,1677104873.13169
1,4,-15,453.085300218314,5,-1181045640,1677104877.26112
1,2,-15,423.995299901813,5,-1181037109,1677104885.7939
