CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,-15,438.603900020476,1,506069140,1677104172.14856
1,4,-15,460.037900015246,3,506076859,1677104179.87019
1,8,-15,438.853199997917,1,506080781,1677104183.79223
1,4,-15,762.422099997289,3,506107250,1677104210.26522
1,2,-15,690.93859998649,1,506127968,1677104230.98074
1,2,-15,799.158899983391,3,506132015,1677104235.02998
1,2,-15,474.840800041799,1,506144500,1677104247.52098
1,2,-15,673.74319996126,2,506191140,1677104294.15259
1,8,-15,470.627899976913,5,506335390,1677104438.40714
1,4,-15,425.107299987227,5,506343312,1677104446.32414
1,8,-15,331.647499985062,4,506382843,1677104485.86379
1,8,-15,595.595799965318,6,506404828,1677104507.85078
