CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,-1181480562,1677104442.34335
420.69,8,0,10000,2,-1181467343,1677104455.5624
420.69,8,0,10000,3,-1181454765,1677104468.12879
1,4,0,369.243999648839,1,-1181393062,1677104529.84598
1,2,0,447.742399930954,2,-1181380609,1677104542.2902
1,8,0,526.239399969578,3,-1181359812,1677104563.09137
1,4,0,374.64819958806,2,-1181355140,1677104567.76308
1,8,0,412.427099592984,3,-1181350906,1677104571.9892
1,2,0,421.696500092745,3,-1181346421,1677104576.47598
1,8,0,425.592300187796,1,-1181317671,1677104605.22367
1,4,0,420.486499726772,1,-1181274343,1677104648.55797
420.69,8,0,5000,4,-1181228312,1677104694.5828
420.69,8,0,5000,5,-1181219453,1677104703.44859
420.69,8,0,5000,6,-1181211656,1677104711.25039
1,2,0,459.356500007212,6,-1181155265,1677104767.62809
1,4,0,519.249600064009,5,-1181114609,1677104808.29865
1,2,0,409.443499691784,4,-1181090343,1677104832.56044
1,8,0,466.728399679065,6,-1181053781,1677104869.12681
