CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,8,15,540.557400000049,3,167868015,1677274794.26841
1,2,15,491.050799985183,2,167876093,1677274802.33373
1,8,15,438.650099993916,1,167913937,1677274840.18463
1,4,15,477.451500013936,2,167938937,1677274865.18565
1,4,15,436.861999999033,3,167947671,1677274873.91416
1,2,15,605.169999992009,5,168112328,1677275038.57141
1,2,15,397.686800013995,4,168116265,1677275042.5062
1,4,15,360.408699980704,4,168120093,1677275046.33697
1,2,15,433.644700006349,5,168133265,1677275059.50385
1,4,15,453.239399994723,5,168141562,1677275067.80367
1,8,15,396.509800015716,5,168161671,1677275087.9244
1,8,15,509.938700004946,6,168169531,1677275095.77067
