CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,8,15,545.54889999819,2,79959593,1677187197.89889
1,4,15,478.167699995916,1,79964312,1677187202.61637
0,2,15,915.785800007521,3,79972968,1677187211.28232
1,4,15,712.771799994167,2,80030015,1677187268.32676
1,8,15,797.895199994324,3,80091796,1677187330.11244
1,2,15,403.260399991646,1,80105421,1677187343.73424
1,4,15,577.155099989264,3,80114421,1677187352.737
1,4,15,731.385199990124,6,80240500,1677187478.80209
1,2,15,1097.23690000502,6,80277062,1677187515.37381
1,8,15,717.540599999134,6,80291562,1677187529.87679
1,8,15,468.741200002492,4,80306031,1677187544.34179
1,2,15,614.052700006519,4,80333234,1677187571.54814
0,2,15,-109,6,80337718,1677187576.03224
1,2,15,544.371599997627,6,80384781,1677187623.09525
