CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,8,-15,582.090400000121,3,1991109,1677109229.42221
1,2,-15,519.481899999997,1,2017046,1677109255.36024
1,4,-15,812.018800000184,1,2052093,1677109290.41076
1,8,-15,727.408799999845,3,2056437,1677109294.74376
1,8,-15,571.76340000016,3,2088765,1677109327.07876
1,2,-15,839.265900000024,3,2092906,1677109331.22376
1,4,-15,692.029199999903,5,2230468,1677109468.78561
1,2,-15,649.115499999803,4,2263015,1677109501.31963
1,4,-15,824.789100000013,6,2294859,1677109533.16264
1,2,-15,618.869199999986,4,2304671,1677109542.98337
0,8,-15,810.858899999781,5,2342078,1677109580.39316
1,4,-15,1027.89449999993,4,2351796,1677109590.11279
1,8,-15,612.58380000019,4,2370921,1677109609.23634
