CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,8,-15,506.885299994261,3,80118250,1677187047.30784
1,2,-15,595.22569999937,2,80143140,1677187072.19751
1,4,-15,480.095299990731,3,80151625,1677187080.67993
1,2,-15,490.349800002528,3,80168890,1677187097.94242
1,8,-15,466.969900004566,3,80190453,1677187119.50956
1,2,-15,509.92269999953,6,80367359,1677187296.41028
1,8,-15,477.011999999755,6,80380265,1677187309.31668
1,4,-15,1059.09249999642,5,80389203,1677187318.26663
1,4,-15,558.668100009905,6,80397578,1677187326.63027
1,4,-15,619.128699993249,5,80418703,1677187347.76224
1,8,-15,626.418999989633,6,80427187,1677187356.23774
1,2,-15,705.819699997315,5,80465656,1677187394.71033
