CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,8,-30,510.473700004164,1,87556843,1677194795.15589
0,2,-30,801.360499998205,2,87566046,1677194804.35267
1,4,-30,571.934000003617,3,87574859,1677194813.16597
1,4,-30,499.856299993931,1,87583828,1677194822.13415
1,2,-30,604.428600007319,2,87609812,1677194848.12018
1,4,-30,648.07500000135,1,87663000,1677194901.30782
1,8,-30,589.611400002846,3,87685156,1677194923.46782
1,8,-30,510.220399996266,1,87689359,1677194927.67582
1,2,-30,707.708299986203,6,87863953,1677195102.26373
0,2,-30,708.678000006708,6,87895718,1677195134.02953
0,2,-30,615.265700002434,4,87904937,1677195143.25053
1,4,-30,631.625200007344,5,87909437,1677195147.74553
1,8,-30,520.468700004509,4,87935406,1677195173.71988
1,2,-30,557.149600001518,4,87940140,1677195178.44296
1,2,-30,690.969200001215,6,87966093,1677195204.40924
