CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,-30,738.241099996609,3,81471625,1677188400.68313
1,8,-30,524.548300000257,3,81496640,1677188425.69445
1,8,-30,563.778600011952,3,81513296,1677188442.35153
1,4,-30,506.138599998318,3,81521546,1677188450.59969
1,4,-30,444.781599999638,3,81534765,1677188463.8154
1,2,-30,685.53710000962,1,81538953,1677188468.01607
1,8,-30,603.212600003113,2,81543703,1677188472.75272
1,2,-30,583.652700003237,6,81672593,1677188601.65319
1,8,-30,545.916799991042,4,81676828,1677188605.88269
1,4,-30,580.389600011054,5,81694359,1677188623.42303
1,2,-30,481.520999990986,5,81698265,1677188627.3233
1,4,-30,599.834500008379,6,81761453,1677188690.51667
