CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,-30,713.21529999515,2,506811875,1677104914.88675
1,2,-30,572.37140001636,3,506843250,1677104946.26319
1,4,-30,395.550999961793,2,506898468,1677105001.48529
1,4,-30,469.572499973234,3,506912140,1677105015.15029
1,4,-30,730.864699984901,2,506937265,1677105040.27686
1,4,-30,541.157800002489,6,507048562,1677105151.57016
1,8,-30,488.062600019854,5,507061718,1677105164.73622
1,8,-30,435.915799982846,4,507087015,1677105190.03519
1,2,-30,922.907199998386,6,507136765,1677105239.7822
1,8,-30,405.938200009055,4,507141921,1677105244.9312
1,2,-30,540.401600006968,6,507158406,1677105261.42459
1,8,-30,456.682799962815,4,507166812,1677105269.82259
