CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,168350093,1677275276.33378
420.69,8,0,10000,2,168363453,1677275289.69667
420.69,8,0,10000,3,168378250,1677275304.49648
1,2,0,463.786400007317,2,168477984,1677275404.22333
1,8,0,420.481800011126,2,168506687,1677275432.94045
1,4,0,521.56790002156,3,168523968,1677275450.20722
1,4,0,468.925799996592,3,168556640,1677275482.8898
1,8,0,436.846699998947,2,168564375,1677275490.62515
420.69,8,0,5000,4,168606750,1677275532.9988
420.69,8,0,5000,5,168615281,1677275541.53259
420.69,8,0,5000,6,168623312,1677275549.56582
1,4,0,411.194800017634,5,168685687,1677275611.94094
1,8,0,442.055199990515,4,168702937,1677275629.18209
1,2,0,469.715700015891,4,168706625,1677275632.87525
1,4,0,503.627299997257,6,168744203,1677275670.45006
1,2,0,649.238599984907,6,168761734,1677275687.9757
1,8,0,503.811700004386,6,168809734,1677275735.97646
1,2,0,558.091799987247,5,168813359,1677275739.61005
