CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,80563421,1677187801.73448
420.69,8,0,10000,2,80581031,1677187819.33845
420.69,8,0,10000,3,80597265,1677187835.57045
0,8,0,903.579700007336,2,80664140,1677187902.44712
1,2,0,757.985499989823,3,80699609,1677187937.91395
1,4,0,332.278500002227,1,80733921,1677187972.23196
1,4,0,467.76330000686,1,80742218,1677187980.53578
1,8,0,667.095699999132,3,80756171,1677187994.48174
420.69,8,0,5000,4,80847984,1677188086.28979
420.69,8,0,5000,5,80857546,1677188095.85479
420.69,8,0,5000,6,80867046,1677188105.35479
1,8,0,679.776400004281,5,80932453,1677188170.7653
1,8,0,673.726100005675,5,80937093,1677188175.4093
1,4,0,451.891900007846,4,80942046,1677188180.3613
1,8,0,609.141100005596,5,80973625,1677188211.93371
1,2,0,774.272899998701,5,81018687,1677188256.99937
1,2,0,605.84459999192,5,81038375,1677188276.69164
1,2,0,787.013399993535,6,81052343,1677188290.65664
1,4,0,1027.03409999632,5,81084531,1677188322.8356
