CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,506712250,1677104815.2675
420.69,8,0,10000,2,506728156,1677104831.17654
420.69,8,0,10000,3,506740796,1677104843.80954
1,8,0,421.085700040217,1,506838437,1677104941.45377
0,2,0,441.14880001545,2,506860234,1677104963.25392
1,4,0,460.902599963825,2,506894484,1677104997.49277
1,4,0,447.750599993393,3,506907500,1677105010.51829
1,2,0,406.605900029186,2,506920500,1677105023.51869
420.69,8,0,5000,4,506974812,1677105077.82027
420.69,8,0,5000,5,506985265,1677105088.28627
420.69,8,0,5000,6,506992234,1677105095.25327
1,2,0,408.00539997546,5,507053171,1677105156.19183
1,4,0,540.68139998382,6,507078125,1677105181.14719
1,8,0,487.106799959671,5,507091203,1677105194.21919
1,2,0,517.836100011133,5,507095312,1677105198.33219
1,2,0,460.707299990114,4,507099171,1677105202.18152
1,8,0,283.461500014178,6,507107375,1677105210.39452
1,8,0,469.364299959503,5,507120171,1677105223.18052
1,4,0,398.687599980272,6,507154437,1677105257.4452
