CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,15,525.141100003035,1,77640234,1677184878.54738
1,8,15,509.472400004975,1,77662390,1677184900.69301
1,2,15,500.46989999502,1,77667031,1677184905.33402
1,4,15,503.303000001702,1,77703828,1677184942.14389
1,2,15,589.94000000204,3,77708562,1677184946.87489
1,4,15,535.184700009646,3,77729875,1677184968.18189
1,8,15,482.104899998754,3,77743156,1677184981.46589
1,4,15,524.311500001582,2,77747984,1677184986.29889
1,2,15,651.10210000095,6,77902171,1677185140.48721
1,8,15,672.85189999931,5,77919562,1677185157.87698
1,8,15,670.056500003207,6,77945078,1677185183.39496
1,4,15,571.706899991492,4,77961625,1677185199.93463
