CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,8,15,450.520700015128,2,507654046,1677105757.05961
1,8,15,454.621099980082,2,507684625,1677105787.64301
1,4,15,383.968400008976,2,507694156,1677105797.17689
1,4,15,411.674699975643,3,507723781,1677105826.7916
1,8,15,464.872599983588,3,507732703,1677105835.7247
1,2,15,456.847299993038,1,507754484,1677105857.49761
1,8,15,428.558600015473,5,507878453,1677105981.46245
1,4,15,361.128400018439,4,507904203,1677106007.21703
0,2,15,499.533399994485,5,507920843,1677106023.85491
1,2,15,569.203400049824,6,507937656,1677106040.67169
1,4,15,435.208900013473,5,507960046,1677106063.06369
1,2,15,569.017499973066,6,507991453,1677106094.46183
1,2,15,484.285100010689,4,508000265,1677106103.28581
