CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,30,631.598799995496,1,81425140,1677188354.2027
1,4,30,627.135200000717,3,81433812,1677188362.8638
1,8,30,492.755399999092,1,81447000,1677188376.06414
1,4,30,617.119699989795,3,81517031,1677188446.08952
1,2,30,508.742000002181,6,81660593,1677188589.64771
1,2,30,499.772799998405,6,81664750,1677188593.80085
1,2,30,597.778300009319,6,81685265,1677188614.32611
1,8,30,582.1134999973,6,81689921,1677188618.98302
1,8,30,567.43579999276,4,81748484,1677188677.54136
1,8,30,481.001199991093,4,81757234,1677188686.29186
1,2,30,520.084600004717,6,81766203,1677188695.26007
1,4,30,672.702499996754,5,81773968,1677188703.02017
