Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,4,21,593.36339996336,3
1,6,21,424.205499988981,3
1,4,-0,465.522100039758,3
1,6,0,751.361400002148,2
0,6,0,-109,3
1,8,-21,679.852000026964,1
1,8,7,608.803200008348,1
1,8,-7,850.138299978804,2
1,4,-7,802.886199959554,3
1,8,-0,684.439200031571,3
1,8,-14,1120.84960000031,2
1,8,-14,774.987799985334,3
1,4,-21,828.139299989212,3
1,8,21,647.934500008356,3
1,8,-21,720.298700031359,1
1,6,-7,796.023399973288,3
1,8,-0,491.521099986508,3
0,6,-7,-109,1
1,6,-14,945.794800002128,1
1,6,14,782.181599989068,3
1,8,7,884.464800005313,2
1,4,7,1008.29750002269,3
1,8,21,947.821499951184,2
1,6,-21,792.907799998298,1
1,6,21,1110.06440000748,2
1,8,14,673.36630000174,2
1,8,21,814.606899974402,1
1,6,7,1357.65230003418,1
1,8,-0,623.363699993584,2
1,6,7,862.350600011647,2
1,6,-7,884.634500016924,2
1,4,-7,663.75499998359,3
1,6,-0,659.692400015425,2
1,4,-21,674.979100000579,3
1,6,21,917.607000036165,2
1,6,-14,789.199699993711,2
1,4,-21,753.15960001573,1
1,8,-14,638.36669997219,2
1,4,21,584.922000005841,2
1,4,14,600.447100001853,1
1,8,-7,1294.00860005664,3
1,4,14,650.859200043138,1
1,4,0,504.153899961617,2
1,8,-0,537.695200004615,2
1,4,0,892.797000004444,3
1,6,7,508.561799997929,1
1,8,14,866.588599976618,1
1,4,21,1180.27020000992,3
1,4,21,437.479700016789,3
1,6,0,677.823000002187,1
1,6,0,916.942900043447,3
1,6,-21,1445.47230004938,2
1,8,-14,861.662500010803,2
1,8,7,703.372299958952,1
1,6,-0,765.968599993736,1
1,4,-7,657.553600027692,3
1,6,-14,912.134399983566,1
1,8,0,1055.57159997663,3
1,4,14,843.776500023901,1
1,4,-0,957.803299996536,1
1,8,-21,695.874500026926,3
1,6,-0,901.319900000468,1
1,8,14,601.575899982359,2
1,6,14,640.472800001968,1
1,6,-0,899.618900028523,3
1,8,-14,645.449799947906,2
1,4,-14,824.261299971491,1
1,4,14,816.527899991721,2
1,4,-14,608.491400020663,2
1,8,7,677.652299982961,2
1,4,0,1059.03519998211,1
1,4,7,1126.91230000602,1
1,4,21,813.321599966381,1
1,4,7,510.239699968603,1
1,4,-21,1337.3936999673,3
1,4,0,485.482099986635,1
1,6,21,1181.34100001445,2
1,6,21,576.204299981706,2
1,8,0,519.784000000451,2
1,6,-21,597.094700028189,2
1,6,-14,573.57420003647,3
1,6,-21,570.694000049494,3
0,6,14,-109,2
1,8,-21,666.616899947636,1
1,8,21,835.485299987718,2
1,8,-0,654.758199987933,1
1,4,-0,915.135400017258,3
1,4,-21,635.16919995565,3
1,4,7,503.450300017372,3
1,6,-21,1023.81320000533,1
1,4,14,871.516700015869,3
1,4,-0,969.142500016838,1
1,4,0,657.487399989273,2
1,4,-14,1011.2269999776,2
1,4,-14,807.834000032395,3
0,8,-7,-109,3
1,6,-7,1094.77580000786,2
1,8,0,475.049299999606,2
1,4,7,808.870900011621,1
1,8,14,731.230600035284,2
1,4,-7,627.01090000011,2
1,8,14,461.314699958544,2
1,8,-21,546.061700032093,1
1,6,-0,739.730399971828,3
1,4,-7,514.818500025664,1
1,8,7,516.265299982857,2
1,8,-7,666.537499983329,1
1,6,14,663.538400022313,3
1,6,7,715.458600021899,3
1,6,14,598.913000020199,2
1,6,0,543.438000019174,1
1,8,0,515.248200037982,2
1,8,21,715.58359998418,2
1,6,-14,852.887899960857,1
1,6,7,976.544399975333,3
1,8,-7,568.146299974993,1
1,4,-0,495.837699967902,2
1,8,0,882.720399993937,3
1,6,-7,597.27909997711,3
1,4,-14,724.497400046326,2
1,6,0,518.01559998095,3
1,6,-7,773.58139998652,1
1,6,14,759.184399965685,2
1,8,-7,578.674399989191,3
