Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,6,24,1257.89369997475,2
1,4,16,1147.09949999489,3
1,8,24,547.309299985878,1
1,6,24,710.896999979392,2
1,8,16,842.621299958788,2
1,8,16,755.828999969177,2
1,6,8,1459.73429997358,3
1,8,-8,789.404299980029,3
0,8,0,-109,2
1,8,0,500.438900020905,1
1,6,-24,978.988000013866,2
1,4,-24,737.789900097065,3
1,6,24,994.833800065331,2
1,8,-0,591.455699930899,1
1,4,-16,1046.47619992867,3
1,6,0,639.923600069247,2
1,4,-24,573.172099943273,1
1,8,8,717.140099903569,1
1,8,-24,718.008599997498,1
1,8,24,994.668199968524,1
1,4,-8,917.14990004804,3
1,8,24,873.661999994889,1
1,4,0,851.371699999087,1
1,4,16,1559.91219990794,2
1,4,8,823.707799947821,1
1,6,8,708.69160006661,1
1,8,-16,677.910299910232,1
1,4,-16,956.918400068767,2
1,6,-0,635.126199977472,1
1,8,-8,1134.95590007771,3
1,4,-0,651.869699995965,1
1,6,-8,1443.64840007294,3
1,4,-8,740.699199898168,1
1,6,8,757.05640000198,1
1,6,16,648.038400042802,2
1,4,-0,539.700100020505,1
1,6,24,1114.92110002693,2
1,8,8,1061.23749998771,3
1,8,-8,674.056600019336,3
1,6,-16,647.321100052446,1
0,4,-8,-109,3
1,4,-24,971.956900026649,2
1,6,16,1357.5864999406,1
1,6,-24,756.643199998885,1
1,6,-16,1369.10509998817,3
1,4,-0,1089.0343000032,3
1,4,8,717.410099980421,1
1,8,8,969.396699973382,1
0,4,24,-109,3
1,8,-16,1066.75339996256,1
1,4,0,1473.76779996231,2
1,4,0,883.006699903868,3
0,4,-0,-109,3
1,8,-0,446.058900034055,3
1,4,-16,796.215500039048,1
1,8,24,823.171400054358,3
1,6,-16,585.409199990332,2
1,6,0,810.911099947058,3
0,6,-8,-109,2
1,8,-16,743.697899914347,3
1,6,0,388.703900095075,2
1,4,-0,1452.83660007082,2
1,8,-16,499.417700044811,1
0,8,24,-109,3
0,4,-24,-109,2
0,6,-0,-109,1
0,6,16,-109,3
1,4,0,740.358900100924,1
0,4,16,-109,3
1,4,-16,717.759399962611,1
1,8,-8,530.325900003314,2
1,8,0,1199.09469998349,2
1,6,-24,770.377199918963,2
0,6,-24,-109,1
1,8,-0,1307.65159992408,3
1,4,8,903.432200019248,1
1,6,-0,886.904999901541,2
1,4,16,1159.95159995183,2
1,8,-24,1391.41039998177,1
1,4,24,670.886899981648,1
1,6,16,622.728299986571,1
0,6,16,-109,2
1,4,16,456.329799894243,2
1,4,24,751.622999956831,1
1,6,-0,664.507699952461,3
1,8,-0,578.289700028487,2
1,8,16,703.978700036183,3
1,8,16,1085.50109999161,2
1,6,-8,963.138000046834,1
0,8,-24,-109,2
1,4,-8,1078.35679995734,3
1,8,0,747.377199990675,3
1,4,8,486.397200086154,2
1,8,-24,609.3420000365,1
0,6,0,-109,2
1,8,-0,1016.34300005063,2
1,4,-16,916.106699904427,1
1,6,-0,593.780299936421,2
1,6,24,614.947899998166,2
1,4,0,1187.56590009108,2
1,8,8,1315.69040001743,3
1,8,8,572.964699993841,3
1,6,-16,920.024300049059,2
1,8,16,858.533799936064,2
1,6,-24,529.45049997326,1
1,8,0,752.327199963853,2
1,6,-8,1074.25650005136,1
0,6,0,-109,2
1,8,-16,1078.43439996615,2
0,6,-8,-109,2
1,4,24,931.934599936008,3
1,4,-24,624.66090003401,1
0,6,-16,-109,2
1,4,-8,636.534299989231,3
1,6,8,565.877800047398,1
1,6,8,888.721399995498,2
0,8,-8,-109,2
0,4,8,-109,3
1,8,-24,1093.70489994437,2
1,4,24,696.928799905814,1
1,8,0,760.036000105552,2
1,4,-8,856.507599990815,3
1,4,24,893.124899998307,3
1,4,-0,710.68269997742,3
1,6,-8,1071.5333000375,2
1,8,24,636.856499997899,3
1,4,-24,741.533799966797,2
1,6,-0,809.683000025339,1
1,6,16,1054.76469994429,3
1,4,16,570.384100018069,3
1,6,-24,727.468300083652,1
1,6,16,798.894600066356,2
1,8,-24,588.575099999085,2
1,6,0,538.584900027141,2
1,6,0,332.32590002846,2
1,6,-8,420.729199944995,2
1,6,-16,461.187099976465,2
1,8,-8,447.562299956568,2
1,4,8,522.58080005087,3
