Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,8,0,429.987200008705,1
1,8,24,758.473799968138,3
1,6,-0,418.748900000006,1
1,6,-8,463.963300044648,3
1,4,-0,399.177799987607,1
1,6,-8,638.927599935792,1
1,6,16,528.559900060296,3
0,4,24,-109,1
1,6,-8,1455.01570001617,3
1,6,16,587.25289994292,3
1,4,-0,470.290100024082,2
1,4,0,678.34059992712,2
1,4,0,835.207200082019,3
1,6,-0,554.771599996835,1
1,4,-8,380.120800048113,2
1,6,8,615.306100048125,2
1,8,16,580.884399995208,1
1,6,-16,639.106800019741,3
1,4,-16,1507.47330003325,3
1,6,-8,596.671500065364,1
1,6,16,419.898700024001,2
1,8,24,524.497099974193,1
1,6,-0,601.06309997756,1
1,8,-24,557.823000065051,2
1,8,8,528.525899917819,2
1,4,16,452.218400020152,1
1,8,-24,836.518200052902,3
1,8,-0,1090.10410000011,3
1,4,-24,466.462299981155,1
1,4,0,456.043600043282,2
1,6,0,779.257200014777,3
1,6,-16,991.899199955165,2
1,8,0,664.878500098363,2
1,6,16,555.483499946073,1
1,8,8,474.723200019449,2
1,4,16,583.911299993284,3
1,4,24,462.496300050057,1
1,8,8,499.917900011875,1
1,4,16,669.855800046586,3
1,6,24,720.212900018319,2
1,4,-24,780.212899957784,3
1,8,-0,777.71929994598,3
1,8,-8,606.302999946289,3
1,8,-16,1297.0125000542,3
1,4,-8,651.937700048089,1
1,6,-24,449.583999983966,2
1,8,16,617.430300041102,1
1,4,0,719.959400067106,2
1,8,-24,558.135099996813,1
1,4,8,397.818399997428,2
1,6,8,471.73929999955,2
1,6,-24,492.176499971189,1
1,4,-8,980.948400040157,3
1,4,-8,517.574599999003,2
1,8,16,804.934100070037,2
1,6,-24,589.931300081313,2
1,8,-16,628.372900010087,3
1,6,0,584.079199991189,3
1,8,-16,378.512700026855,1
1,4,8,613.895300015807,1
1,8,-24,513.220099903643,1
1,8,24,458.920599947684,1
1,8,16,418.387099922635,1
1,8,0,827.54470006004,2
1,6,-24,552.973800044507,2
1,6,-24,417.430200086907,2
1,6,-16,662.381100057624,1
1,8,24,597.392199965194,2
1,8,-8,474.415200002491,2
1,4,-8,590.527200078592,3
1,4,-16,736.923600019887,3
1,8,-24,692.538800005801,2
1,6,0,703.808800023049,3
1,4,16,1027.20409998111,2
1,4,24,446.909299990162,2
1,8,-0,412.11169998534,2
1,8,-16,370.653800022788,2
1,4,0,358.119500041008,2
1,8,8,479.088499964215,3
1,8,-8,346.104199936613,3
1,6,-16,743.333000046201,2
1,6,-0,642.522000064142,2
1,4,-16,589.469799943268,3
1,4,8,527.918400065042,2
1,6,8,492.454499992542,2
1,4,16,534.584599951282,3
1,6,0,1276.38190000691,1
1,4,8,759.218999938108,3
1,8,-16,650.477299987338,3
0,6,8,-109,3
1,6,24,730.17609998025,3
1,6,-0,676.322100040503,2
1,8,24,485.325000070967,3
1,4,24,496.75530002825,1
1,4,-0,711.485399919562,3
1,6,24,771.081499926746,2
1,6,8,550.732299973257,1
1,8,0,387.519399923272,2
1,8,0,547.571300001815,1
1,4,-0,1220.80569999199,2
1,4,-16,726.891199996695,3
1,8,16,677.550899967551,3
1,8,8,834.681300035678,2
1,4,-16,531.959999989718,1
1,8,-8,990.413499934599,3
1,6,-16,508.576299933717,3
1,4,-0,598.040100009181,1
1,6,24,570.301399970427,3
0,4,-24,-109,3
1,6,-8,878.333199940622,2
1,8,-8,549.367599942721,2
1,4,-24,627.506599932909,1
1,6,24,913.841600002721,1
1,4,24,614.049200023524,2
1,6,0,489.165899980813,2
1,4,8,619.923800052144,2
0,8,-0,-109,3
1,4,-24,693.264699945226,2
1,6,16,480.665199979208,1
1,8,-0,535.126099999994,1
1,4,24,727.443700012751,1
1,6,8,814.191000008956,3
1,4,-24,905.740800019354,3
1,8,-0,926.632799961604,3
