Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,8,-16,584.537100101821,1
1,8,-8,1004.61240001861,1
1,4,-8,607.595700010657,3
1,6,24,578.913000001572,1
0,6,24,-109,2
1,4,0,956.756600000896,2
1,4,16,559.430099962279,2
1,8,-0,428.83669997938,3
1,6,-24,633.485000053421,3
1,4,8,500.094399958849,3
1,6,16,367.261399919167,3
1,6,8,541.879600085318,1
1,4,-16,595.045999911614,2
1,8,-8,1018.26680003107,2
1,4,-8,398.975599961355,2
1,6,0,444.070500027388,2
1,8,16,465.561899993569,3
1,8,8,623.470999937505,2
1,8,0,626.323400003836,1
1,6,16,594.315500053577,1
1,6,-16,643.049000002444,3
1,8,-24,559.302900041454,3
1,6,8,604.854400091805,2
1,6,-0,651.930699994788,3
1,8,16,1037.83009998407,2
1,6,24,434.061400065199,1
0,8,24,-109,3
1,6,-24,582.595799988136,3
1,6,16,615.383200053126,2
1,6,0,454.737299991772,2
1,8,-0,583.840499919839,2
1,6,16,493.84320008941,3
1,4,24,400.72199998796,3
1,8,-16,971.860699992627,1
1,6,16,577.787999933586,1
1,6,8,866.0192000065,3
0,8,-8,-109,2
1,4,8,895.410999943502,2
1,8,-16,668.030500001274,3
1,8,0,664.475999943912,2
1,4,24,451.574700008146,1
1,4,-0,682.12539999187,2
1,8,24,695.073399980552,2
1,8,16,491.232400000095,2
1,6,-8,549.852800028399,3
1,4,0,530.950899989344,2
1,6,-16,474.134999964386,3
1,6,0,538.694500046782,1
1,6,-0,869.414000011981,3
1,4,-24,738.86229999736,2
1,8,-0,494.339500026777,2
1,4,-16,513.497299918905,2
1,4,-16,993.959800045937,2
1,6,-8,728.212400045246,3
1,4,-0,534.531499896199,3
1,4,-24,700.736900031567,2
1,6,-8,674.379800035618,3
1,8,-8,513.909700032324,1
1,4,0,1122.26680008136,3
1,8,-24,530.120900072157,2
1,8,-8,558.89979999885,1
1,8,-0,699.652400039136,1
1,6,-0,779.015999924392,1
0,6,-0,-109,3
1,8,0,577.205200036056,3
1,8,8,473.132500014268,3
1,8,0,522.274800049141,1
1,4,0,639.783300048672,3
1,4,16,510.609700050205,1
1,6,-16,628.250500009395,1
1,8,-24,877.457300023176,3
1,4,16,482.7903999798,1
1,4,-0,751.495100030676,3
1,4,-8,1099.92429992091,2
1,6,8,638.255400056019,1
1,6,-0,808.310399934649,2
0,4,-0,-109,3
1,6,-8,587.778999990784,1
1,6,-24,937.628499985673,2
1,4,-16,867.132999989204,2
1,8,24,640.355199979618,1
1,4,-24,661.468299975619,2
1,6,-24,665.740800028667,1
1,4,24,697.344400043599,2
1,4,-8,492.208900101483,3
1,8,8,482.845399932936,1
1,4,-8,887.544399997219,1
1,8,-24,799.791100024246,2
1,4,24,567.136099966243,2
1,4,0,631.971000050195,3
1,6,-16,575.709900058806,1
1,6,24,916.204300065525,2
1,4,16,656.238199965097,2
1,4,8,560.583600014448,1
1,4,-16,568.215800038539,3
1,8,-0,716.017599971034,3
1,4,-0,484.004699912854,3
1,8,24,523.684399955906,3
1,8,16,663.379899979569,2
1,4,24,558.407399974763,1
1,6,24,534.3740000939,1
1,6,-24,572.875999900512,2
1,8,-16,547.4147999743,3
1,8,8,490.931399920024,3
1,6,-8,715.179299990647,2
1,8,24,608.734800069593,2
1,6,0,499.223000075668,1
1,8,-16,625.063100069761,2
1,4,16,579.702999963425,3
1,8,0,616.787900038995,1
1,4,-24,800.19599996414,2
1,4,8,713.481799987145,2
1,8,16,847.39189996291,2
1,4,-24,696.937699973583,1
1,6,0,595.093900043517,3
1,6,-16,585.499300094321,2
1,4,8,529.139800052159,2
1,6,8,440.455500091426,2
1,8,-24,708.258600029163,2
1,8,8,589.237599921413,2
1,6,24,630.036299986765,2
1,8,24,573.833299972117,3
1,8,-8,655.067700016312,2
1,6,-0,538.815699921921,3
1,4,-0,452.247900011949,3
