Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,1161890,1677108400.2077982
420.69,8,0,10000,2,1178765,1677108417.0717978
420.69,8,0,10000,3,1195234,1677108433.5376587
1,8,15,777.1828000001424,2,1260375,1677108498.684932
1,4,-30,752.7867999998907,2,1264515,1677108502.8299346
1,2,-30,1074.6123000000498,3,1268828,1677108507.1409347
0,4,-15,-109.0,2,1274140,1677108512.442932
1,8,30,834.0650000001606,1,1278625,1677108516.940406
0,2,15,760.692200000145,3,1283750,1677108522.0534601
0,2,-15,-109.0,2,1288187,1677108526.4962044
1,2,30,1005.7269999999025,1,1293671,1677108531.9846587
1,4,0,818.7474999998958,1,1298500,1677108536.80666
1,8,-15,756.6531000001451,2,1302937,1677108541.244423
1,4,-15,654.8246999999865,2,1307515,1677108545.8178527
0,2,-30,892.9882999999936,1,1311562,1677108549.8778515
1,8,-15,482.8573000001288,1,1315828,1677108554.138369
1,4,30,737.1514999999054,1,1319968,1677108558.2843695
0,2,-30,-109.0,3,1325078,1677108563.3833818
1,2,-15,701.171500000024,2,1329593,1677108567.9103787
1,2,-30,1111.408500000076,2,1333859,1677108572.1727664
1,8,30,602.9090999999571,2,1338796,1677108577.105767
1,2,-30,635.8445000002266,2,1343671,1677108581.9847674
0,4,0,570.4560000000729,3,1348562,1677108586.8697677
1,8,15,692.5032999999221,3,1352531,1677108590.8347664
1,2,30,843.306500000077,3,1357531,1677108595.842767
1,2,0,1019.6735999999564,2,1361796,1677108600.1097684
1,2,0,870.560900000024,3,1366234,1677108604.5487676
1,4,15,1147.9751000000906,3,1371468,1677108609.781767
1,2,15,789.2433999999557,2,1376234,1677108614.548767
1,4,-15,1198.9791999998633,3,1380796,1677108619.106769
1,4,15,803.5992999997834,3,1386015,1677108624.3269145
0,8,0,770.8799999999574,1,1390984,1677108629.2939143
1,2,30,1031.2631999999358,3,1395937,1677108634.2509155
1,2,15,920.235700000072,1,1400984,1677108639.293727
1,8,-30,769.7465000000338,1,1405734,1677108644.0507154
1,2,-15,607.2393999999495,1,1409953,1677108648.2667146
1,2,-15,449.9233000000604,1,1414421,1677108652.7397501
1,2,15,901.4226999999355,2,1418890,1677108657.207749
0,4,0,720.3052999999873,1,1423609,1677108661.9167492
1,2,15,912.2922000000617,2,1428171,1677108666.4757488
1,8,30,639.526800000036,1,1432625,1677108670.9407775
420.69,8,0,5000.0,4,1482781,1677108721.084777
420.69,8,0,5000.0,5,1491875,1677108730.1837761
420.69,8,0,5000.0,6,1500734,1677108739.051148
1,2,-30,914.4749000001102,6,1559875,1677108798.1781342
0,8,-30,-109.0,4,1564750,1677108803.058671
1,8,-15,933.1969999999874,5,1570140,1677108808.4466906
1,8,0,1003.2646999999688,6,1574750,1677108813.056671
1,8,15,907.5866999998343,4,1580125,1677108818.4386716
0,4,0,810.614700000011,5,1584406,1677108822.7116702
1,2,0,750.9096999998892,4,1589187,1677108827.5007522
1,4,-30,586.2550999999403,6,1594109,1677108832.4234276
1,8,-30,804.6581000000206,6,1598765,1677108837.0784278
1,4,-30,782.7828999999529,4,1603437,1677108841.742427
0,8,15,740.2384000001039,6,1607656,1677108845.9622934
1,2,-15,1137.1773999998513,4,1612156,1677108850.4652941
0,4,0,-109.0,5,1617609,1677108855.9229486
1,4,30,817.798399999825,6,1622359,1677108860.66395
1,8,0,903.6424000000043,5,1626953,1677108865.2659497
1,8,-15,758.9815000000417,6,1632046,1677108870.3549492
1,2,0,849.5855000000265,5,1636984,1677108875.2879505
1,4,-15,655.6083999998154,5,1641703,1677108880.0099509
1,8,30,565.5640000001458,4,1646531,1677108884.842949
1,8,0,843.020100000027,4,1650640,1677108888.9539497
1,4,30,884.3759000000464,5,1655625,1677108893.9279501
1,4,15,831.2292999998281,6,1659828,1677108898.1354125
1,8,15,648.7002000000448,5,1664828,1677108903.142454
1,4,30,1055.863299999979,4,1668828,1677108907.1384532
1,2,30,688.9973000001337,5,1673765,1677108912.074581
1,4,0,846.993000000035,4,1678390,1677108916.707594
1,4,15,699.5833000000093,5,1683078,1677108921.384593
1,4,0,429.4034999999585,5,1687796,1677108926.1015923
1,4,-15,672.9134000001213,6,1692187,1677108930.4905906
1,8,-30,796.6875000001128,4,1696781,1677108935.08659
1,4,-30,729.134699999955,6,1701015,1677108939.329575
1,8,0,705.4078000000263,5,1705171,1677108943.486608
1,8,-30,733.5063999998201,5,1709875,1677108948.177861
0,4,0,766.6679999999051,4,1714546,1677108952.859859
1,4,0,680.8983000000044,6,1718859,1677108957.1688607
