Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,79863546,1677187101.8622892
420.69,8,0,10000,2,79879578,1677187117.889289
420.69,8,0,10000,3,79893484,1677187131.7889373
1,8,15,545.5488999981899,2,79959593,1677187197.898891
1,4,15,478.16769999591634,1,79964312,1677187202.6163683
1,4,0,450.6356000023661,3,79968546,1677187206.8600526
0,2,15,915.7858000075212,3,79972968,1677187211.282322
1,2,-15,773.0005000015954,1,79977968,1677187216.2723207
1,2,30,906.1834999996936,3,79983000,1677187221.316371
1,4,-15,556.2452999987872,1,79987984,1677187226.28956
1,8,-30,927.6674999968382,3,79992421,1677187230.7265582
1,4,30,752.4694999996573,1,79997000,1677187235.304701
1,4,-15,659.4408999921288,2,80002078,1677187240.389697
0,2,-30,657.584500001045,2,80006765,1677187245.0706978
1,4,0,490.7782000049483,1,80010812,1677187249.122565
1,4,-30,761.9967000031611,2,80015375,1677187253.6817589
1,2,0,897.9134000077611,3,80019921,1677187258.2257593
1,8,-15,680.0572999895085,3,80025187,1677187263.4927592
1,4,15,712.7717999941669,2,80030015,1677187268.326759
1,8,0,482.38760001224,3,80034562,1677187272.8677602
1,4,0,562.521299998858,1,80038875,1677187277.1808472
1,8,30,1029.509199998225,2,80043750,1677187282.0618467
0,2,-15,-109.0,3,80048109,1677187286.4208457
1,2,30,842.4804000064032,3,80052859,1677187291.1728458
1,8,-15,567.0200999997323,1,80057328,1677187295.6368477
0,2,0,606.1688000012655,2,80061671,1677187299.988845
1,4,-30,666.6176999973832,1,80066515,1677187304.8248458
1,8,30,719.9152999932412,2,80070656,1677187308.9608483
1,8,-30,467.8300000054296,3,80074937,1677187313.2468472
1,2,30,765.5948000141652,3,80079656,1677187317.9608448
1,4,30,608.8648999979487,2,80083750,1677187322.0538466
1,8,0,309.502599990461,1,80087984,1677187326.288297
1,8,15,797.8951999943238,3,80091796,1677187330.1124384
1,4,0,554.7007999961497,1,80096531,1677187334.8352363
0,4,-15,869.246799990302,2,80100812,1677187339.1202357
1,2,15,403.2603999916464,1,80105421,1677187343.734235
1,8,-15,764.249800002668,2,80110000,1677187348.3020914
1,4,15,577.1550999892643,3,80114421,1677187352.7369952
420.69,8,0,5000.0,4,80157015,1677187395.318241
420.69,8,0,5000.0,5,80166937,1677187405.2532423
420.69,8,0,5000.0,6,80176640,1677187414.9472404
1,2,0,469.6596000107238,4,80235734,1677187474.048004
1,4,15,731.3851999901235,6,80240500,1677187478.8020887
1,8,-15,604.7523999990663,6,80244687,1677187482.9990878
1,2,-30,876.5991999938851,6,80249375,1677187487.6878443
1,4,-15,732.9604999944568,6,80253921,1677187492.231844
1,4,30,429.43960000085644,6,80258640,1677187496.9428432
0,2,-30,-109.0,4,80263437,1677187501.7428422
1,2,-30,729.8981000025524,4,80268203,1677187506.5097942
1,8,0,793.8784999973141,5,80272546,1677187510.8597944
1,2,15,1097.236900005024,6,80277062,1677187515.3738077
1,2,-15,943.2148000018205,5,80281750,1677187520.0627935
1,4,-30,773.1785000036471,6,80286718,1677187525.0307932
1,8,15,717.5405999991344,6,80291562,1677187529.876794
1,2,-30,685.4131000112975,6,80296546,1677187534.8527937
1,2,-30,662.7046000034316,4,80301000,1677187539.3087938
1,8,15,468.7412000024924,4,80306031,1677187544.3417928
0,8,30,611.8654999994906,6,80310859,1677187549.1747942
1,8,30,688.0276999985799,6,80315218,1677187553.5309706
1,8,0,524.2704000087688,5,80320078,1677187558.3869715
1,2,0,694.5057999950368,5,80324750,1677187563.062145
1,4,-15,744.1560999981593,6,80329078,1677187567.3811436
1,2,15,614.0527000065194,4,80333234,1677187571.5481436
0,2,15,-109.0,6,80337718,1677187576.0322406
1,8,-30,568.5931000011042,6,80342671,1677187580.9772549
1,8,-30,643.4445000017295,6,80346593,1677187584.8962555
1,4,30,645.2650999967009,4,80351156,1677187589.4632556
1,2,30,969.351099989959,5,80355828,1677187594.1312568
1,2,-15,1019.3304000098724,6,80361109,1677187599.4232566
1,4,-30,939.3660000027157,6,80366218,1677187604.5282557
1,8,30,665.3118999933358,4,80371484,1677187609.787255
1,2,0,963.1668999904068,6,80375953,1677187614.2652564
1,2,-15,573.047499998589,6,80380843,1677187619.1472569
1,2,15,544.3715999976266,6,80384781,1677187623.095255
