Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,436967796,1677544200.2314363
420.69,8,0,10000,2,436990593,1677544223.015911
420.69,8,0,10000,3,437011984,1677544244.41891
0,8,0,701.4597999481484,3,437076187,1677544308.614954
0,8,30,-109.0,3,437081015,1677544313.4490688
0,2,-30,-109.0,2,437085453,1677544317.8785045
0,2,15,662.308199968189,2,437089796,1677544322.221586
0,4,-30,762.1016000015661,1,437094359,1677544326.7860656
1,2,-30,1039.9399999845773,3,437098765,1677544331.1878195
0,8,0,-109.0,3,437103921,1677544336.3568742
1,4,30,616.8421999868006,3,437108531,1677544340.953967
1,4,0,1004.1398999714293,1,437113312,1677544345.7429676
1,4,30,756.7448000158183,1,437117984,1677544350.421968
1,8,-30,549.1880999729037,1,437122828,1677544355.2539682
1,8,0,682.1523000220768,2,437127453,1677544359.880968
0,4,0,598.8118000063114,3,437131812,1677544364.235494
1,8,30,387.7630000319332,3,437136218,1677544368.6504948
1,8,30,799.2773000118323,2,437140734,1677544373.1664941
1,8,-30,299.7495999992825,1,437145265,1677544377.6904948
1,2,15,523.3128000367433,1,437149578,1677544382.0059898
1,8,15,401.1705999695696,2,437154484,1677544386.9123507
1,2,0,521.2126999944448,1,437158953,1677544391.3763502
0,4,0,971.415400036145,1,437163015,1677544395.4497075
0,8,-30,466.30169998062775,3,437167625,1677544400.0587065
0,4,15,556.2445999789052,3,437171703,1677544404.1267061
1,4,0,1133.6680999924429,1,437175750,1677544408.1827083
0,4,-30,1005.0480999602005,1,437180562,1677544412.9907095
1,4,0,488.21819998230785,1,437185703,1677544418.1317074
1,2,30,611.1667000190355,1,437190015,1677544422.4487066
1,2,0,578.0561999967322,2,437194156,1677544426.5827074
1,2,-15,707.3394999573939,2,437198296,1677544430.7317078
1,4,15,1069.2295999582857,3,437203187,1677544435.6123378
1,8,-15,495.7934000380337,1,437208375,1677544440.8083394
0,2,30,692.3844999950379,2,437212640,1677544445.075195
0,2,-30,352.1334000364877,3,437216921,1677544449.3521943
1,8,-15,1109.6189999920316,3,437221515,1677544453.9524782
1,8,0,626.7162000262178,1,437226421,1677544458.854479
0,4,-30,436.29390000971034,3,437230609,1677544463.0444784
1,4,15,732.0076000145636,3,437234890,1677544467.3164787
1,4,15,747.2489000032656,2,437238953,1677544471.3894784
1,8,15,502.6323999594897,2,437243593,1677544476.0234792
1,2,30,716.5868999985978,1,437247984,1677544480.4134784
1,2,0,783.4638000316918,1,437252375,1677544484.8074794
0,2,-15,410.81020002858713,2,437256937,1677544489.3624797
1,4,15,661.6905999802984,2,437261546,1677544493.9764786
1,8,0,521.4514000075869,2,437266468,1677544498.8954775
1,8,-15,486.5606000497937,2,437270921,1677544503.3464782
1,8,-15,380.61839999537915,2,437275546,1677544507.980479
420.69,8,0,5000.0,4,437345343,1677544577.774068
420.69,8,0,5000.0,5,437355875,1677544588.3060677
420.69,8,0,5000.0,6,437369515,1677544601.94007
1,8,30,806.3003999963403,4,437431062,1677544663.490165
1,4,-30,603.9685000400059,5,437435546,1677544667.9711654
0,2,-30,482.7052000295371,5,437439828,1677544672.2613945
0,2,-30,679.4987000143155,4,437444562,1677544676.9923313
1,2,15,824.6765999905765,5,437448812,1677544681.2383292
1,2,30,555.5322000258602,5,437453328,1677544685.7553837
1,4,30,482.80300001753494,5,437458187,1677544690.612383
1,4,-30,465.6836999896914,5,437462437,1677544694.8611217
1,8,0,582.7863999842666,4,437466421,1677544698.858648
1,2,-30,610.0877999528311,4,437470734,1677544703.1680765
0,8,30,473.00110000325367,4,437475171,1677544707.6090763
1,2,15,705.0305000124499,6,437479156,1677544711.585077
1,4,-30,737.8508000369184,5,437483828,1677544716.2602181
0,4,0,987.920499985572,4,437488546,1677544720.9702184
1,4,-15,674.053099992685,4,437492812,1677544725.2362187
1,8,15,577.006499978248,4,437497750,1677544730.1872187
1,4,-30,525.6615999937057,5,437502500,1677544734.935218
1,2,-30,605.6771000116132,5,437507093,1677544739.5232182
1,4,-15,667.3589999522083,6,437511734,1677544744.1572194
1,2,0,652.545900022611,5,437516531,1677544748.954218
1,8,15,625.4999999622814,6,437521000,1677544753.4232187
1,2,-15,619.8294999743812,4,437525843,1677544758.274218
1,2,-15,510.12479996681213,4,437529921,1677544762.358646
1,2,-15,451.8868999988772,4,437533921,1677544766.3450677
1,8,-30,668.8696999885142,5,437537718,1677544770.1471
1,4,0,482.99340001214296,5,437542515,1677544774.9480991
0,4,-15,1127.9802999892272,6,437546625,1677544779.0551012
0,2,-30,553.0689000119455,6,437551500,1677544783.9261005
1,2,-30,738.516399982851,6,437555750,1677544788.1811
1,2,30,1009.5312000452541,5,437560125,1677544792.5491004
0,4,-15,710.3616000353359,6,437564406,1677544796.8401008
1,8,30,724.2905999850482,6,437568671,1677544801.0984445
1,4,-15,386.676500024274,4,437573265,1677544805.6884475
1,4,30,682.350000014063,6,437577421,1677544809.8554454
1,2,15,547.8819000385702,4,437581875,1677544814.310445
1,4,-15,471.7916999910958,6,437586609,1677544819.0434453
0,8,-30,636.9321000496857,6,437591046,1677544823.4727514
1,8,-30,526.7897000270896,5,437595390,1677544827.814751
