Var1,Size (deg),Eccentricity (deg),Var3,Var4,Var5,Var6
420.69,-1,-1,10000,-1,601567078,1674592554.7335
420.69,8, 0,10000,1,601592250,1674592579.90075
420.69,8, 0,10000,2,601610890,1674592598.54054
420.69,8, 0,10000,3,601625234,1674592612.87825
0,8, 8,660.652899936773,1,601693781,1674592681.43331
1,6, 24,926.190399968997,1,601698281,1674592685.93544
1,8, 0,680.357800036669,3,601703156,1674592690.80539
1,8, -24,752.202799947932,1,601708140,1674592695.79723
1,8, 8,640.51009999495,3,601713078,1674592700.73283
1,4, 0,508.770900018513,2,601718312,1674592705.96964
1,6, 16,947.895000045188,2,601722562,1674592710.21417
1,6, 24,999.76279999502,2,601728187,1674592715.82974
1,4, -8,559.656999943778,2,601732953,1674592720.59762
1,8, 16,660.472900079563,1,601737421,1674592725.07826
1,8, -24,617.906100055203,2,601742437,1674592730.08086
1,8, -16,576.487299924716,2,601747640,1674592735.29508
0,4, 16,1000.55210006796,1,601752515,1674592740.16489
1,4, 0,686.445000054315,1,601757406,1674592745.06218
0,8, -8,-109,1,601762625,1674592750.27027
1,4, 0,521.687299999408,1,601767390,1674592755.04334
1,8, 8,753.784099997953,3,601771593,1674592759.24419
1,6, -24,828.897499999963,1,601776281,1674592763.92842
1,8, -24,1198.02239996754,2,601781687,1674592769.33618
1,4, 8,653.922200025059,2,601786812,1674592774.46482
1,6, -8,727.113000055775,3,601791890,1674592779.54162
1,6, 8,819.67659998592,1,601796656,1674592784.29818
0,4, -24,907.056200023741,3,601801031,1674592788.67629
1,6, -16,640.286600039341,2,601805593,1674592793.2363
1,8, -16,686.162399997935,2,601810125,1674592797.76741
1,6, 8,545.647600022145,2,601815390,1674592803.04406
1,4, 0,505.911500015296,2,601820109,1674592807.76292
0,8, 16,854.517099968158,1,601824375,1674592812.03098
0,6, -24,1056.17400008161,1,601829218,1674592816.86894
0,6, 16,1154.69569997769,3,601834578,1674592822.22284
1,6, -16,1137.10430002213,1,601840046,1674592827.68926
1,8, 24,750.828799962997,2,601845671,1674592833.32494
1,8, 24,564.489199951291,2,601850390,1674592838.03569
1,4, 8,962.652800077572,3,601855000,1674592842.64687
1,8, -16,568.94069997035,2,601859921,1674592847.57141
1,6, -8,502.482999986038,2,601864234,1674592851.87884
1,4, 24,795.586299904622,1,601868531,1674592856.18289
1,4, -16,876.224200063385,3,601873093,1674592860.7459
1,8, 0,769.516500000842,1,601877687,1674592865.33153
1,4, -24,626.020999913104,2,601882609,1674592870.25271
1,6, -16,665.921700009145,2,601887359,1674592875.01458
1,4, 24,647.585799972527,1,601891984,1674592879.64055
0,4, 24,768.42460006848,2,601896234,1674592883.88448
1,8, 24,631.616600029171,2,601901640,1674592889.29313
1,8, 16,906.121100004762,1,601907781,1674592895.42723
1,4, 24,775.349500061944,3,601912593,1674592900.23814
1,4, 16,847.426199991256,2,601917671,1674592905.3157
1,6, 0,483.333500040695,2,601922265,1674592909.92187
420.69,-1,-1,10000,-1,601963125,1674592950.77864
420.69,8, 0,5000,4,601983515,1674592971.17165
420.69,8, 0,5000,5,601991468,1674592979.11575
420.69,8, 0,5000,6,601999156,1674592986.80664
1,4, 16,873.914200052619,4,602058328,1674593045.97105
1,4, 8,784.332700012252,6,602063218,1674593050.86111
1,4, 8,746.309100006707,6,602068093,1674593055.74017
1,8, 16,1076.37880002987,6,602072484,1674593060.12839
1,6, 16,573.748100021854,5,602077046,1674593064.69528
1,8, -8,615.146599997766,6,602081406,1674593069.05857
0,6, 16,776.390099952929,6,602086000,1674593073.65744
0,4, -24,733.298800009303,6,602091125,1674593078.78133
1,8, 0,688.040999983437,4,602096093,1674593083.74137
0,4, -16,805.561800076626,4,602100562,1674593088.20776
1,6, 0,515.261199962348,5,602105734,1674593093.38431
1,6, -24,771.668200086802,5,602110328,1674593097.98153
1,6, -24,656.548900002614,5,602114937,1674593102.57961
1,8, -8,630.933700067922,4,602119828,1674593107.48347
1,6, 16,749.805799973197,6,602124625,1674593112.2802
1,4, 16,742.915000006557,5,602129765,1674593117.42004
1,6, 0,596.154499970376,4,602135078,1674593122.72721
1,4, -8,822.725499918684,6,602140359,1674593128.00701
1,8, 16,536.746599999256,5,602145187,1674593132.84442
1,4, -8,531.53790003527,5,602149468,1674593137.11386
1,8, -8,449.579299948178,5,602154390,1674593142.04324
0,4, 16,668.745799976401,6,602158750,1674593146.39386
0,4, -24,757.86099995859,4,602163000,1674593150.65186
1,6, 24,900.290599962696,4,602168281,1674593155.9361
1,6, 8,672.422700034454,6,602172890,1674593160.53289
1,8, 0,483.410500044934,5,602178140,1674593165.7958
1,6, -16,810.097399921156,5,602182984,1674593170.6287
0,4, -16,691.795300048776,6,602187531,1674593175.1854
1,4, 24,675.413699992001,6,602192390,1674593180.04604
0,4, -16,492.897099986672,6,602197125,1674593184.77165
1,4, -24,626.721500008367,5,602201609,1674593189.2633
0,4, 16,612.156600047834,6,602208453,1674593196.1001
1,4, 16,781.997100039385,6,602212578,1674593200.22231
1,8, -8,461.213899947703,5,602217125,1674593204.77024
1,4, -16,575.829400037415,4,602221734,1674593209.39025
0,6, -24,687.977199963294,4,602226765,1674593214.40794
0,6, 0,480.397800038569,6,602231218,1674593218.86287
1,8, 8,733.933299951255,4,602235296,1674593222.95042
1,4, -16,770.466600017622,4,602239875,1674593227.52395
1,6, -24,623.069499907084,5,602245281,1674593232.92718
1,4, -8,599.241200074553,5,602249640,1674593237.29674
1,8, 24,1066.83439999726,6,602254546,1674593242.19515
0,4, -16,833.670400021598,6,602259593,1674593247.23839
1,4, -24,1110.2866000114,6,602264546,1674593252.20104
1,6, 0,776.96680003684,6,602269906,1674593257.56136
1,8, -24,647.620000000112,5,602275296,1674593262.94091
1,6, 24,775.284000028856,4,602280468,1674593268.12349
1,6, 16,766.652899965644,4,602285296,1674593272.94527
0,4, -24,684.67819998879,5,602289937,1674593277.57943
0,4, -16,755.747800049372,6,602294093,1674593281.74131
0,4, -24,595.24059999641,6,602298640,1674593286.29061
1,4, -16,1083.92510009836,4,602303187,1674593290.84439
0,6, -8,520.42260003183,6,602308609,1674593296.261
1,4, -24,912.654500043951,4,602313109,1674593300.75206
1,6, -8,639.558299965225,5,602317546,1674593305.19784
