Var1,Size (deg),Eccentricity (deg),Var3,Var4,Var5,Var6
420.69,-1,-1,10000,-1,609278562,1674600266.20544
420.69,8, 0,10000,1,609314734,1674600302.38042
420.69,8, 0,10000,2,609334406,1674600322.05672
420.69,8, 0,10000,3,609348671,1674600336.32691
0,8, 16,753.684699939564,3,609414265,1674600401.91689
1,8, 24,701.841099941172,1,609419250,1674600406.90718
1,4, 0,581.540100098588,2,609424046,1674600411.6906
0,6, -24,893.140900003724,1,609428593,1674600416.24035
1,8, -24,1001.26739992667,1,609433093,1674600420.73961
1,4, -24,863.203599987552,2,609437421,1674600425.07017
0,8, -24,1094.99099995848,1,609442125,1674600429.78232
1,8, -24,845.547999892384,3,609446718,1674600434.36743
0,6, 0,1075.78890007827,3,609451328,1674600438.97699
1,8, -8,776.485299979337,3,609456328,1674600443.98079
1,6, 16,921.761000001803,1,609461125,1674600448.77173
0,6, 24,643.849699929357,3,609465828,1674600453.47417
1,6, 8,967.523499912582,1,609469640,1674600457.29308
0,6, 24,738.771900007501,3,609474875,1674600462.52903
0,6, -16,950.68079995364,1,609479140,1674600466.79715
0,6, 0,656.703200013377,3,609483734,1674600471.37993
1,4, 0,552.657800083049,2,609488390,1674600476.03352
1,6, 0,453.672499916516,2,609493046,1674600480.70014
1,8, 0,661.649499958381,3,609497156,1674600484.80462
1,8, 8,588.176299989223,1,609501531,1674600489.18166
1,8, 0,626.63979996834,3,609505625,1674600493.28049
1,4, 16,868.351699955761,1,609510187,1674600497.82951
1,4, -8,650.836599929258,2,609514859,1674600502.51178
0,6, 16,616.571399903856,1,609519531,1674600507.17829
0,4, -16,736.570900011808,3,609524375,1674600512.01852
1,6, -24,629.103999989107,2,609528687,1674600516.33199
0,4, 24,1059.53059991263,1,609533046,1674600520.69774
1,8, -8,438.487000003457,2,609538140,1674600525.78879
1,6, 8,750.037499991246,1,609542890,1674600530.54302
0,4, 16,799.922900096513,3,609548000,1674600535.65738
0,8, -8,462.771000046283,3,609552250,1674600539.90741
1,6, -8,554.140399963595,1,609556109,1674600543.76056
1,4, 24,931.923599968664,1,609560000,1674600547.64661
0,4, 24,577.37679994572,1,609564765,1674600552.41618
1,4, 8,582.233400022611,2,609569546,1674600557.20433
0,4, 24,529.151000021026,3,609574078,1674600561.72831
0,8, -24,596.786400008947,1,609578625,1674600566.27202
0,6, 24,544.583100065589,1,609583109,1674600570.75275
1,8, 16,614.079000017606,2,609587750,1674600575.39746
0,4, 24,598.349700038321,1,609592437,1674600580.08385
1,6, 0,607.496900073253,1,609596328,1674600583.97299
1,6, 24,592.389800058678,2,609600718,1674600588.36957
0,8, 24,644.71570000425,3,609605218,1674600592.86096
1,4, 8,593.301600016654,2,609609953,1674600597.60086
0,4, -16,801.749699920416,1,609614859,1674600602.50482
0,6, 24,534.59859994147,1,609619000,1674600606.64322
1,8, 0,677.46860003937,1,609622984,1674600610.63171
1,6, -16,621.744900065474,2,609627828,1674600615.47985
1,6, 8,514.360799974762,2,609631921,1674600619.5791
1,8, 0,509.346499977633,2,609635734,1674600623.37661
0,4, 16,997.40309995506,3,609640125,1674600627.76782
1,8, 8,496.546300066635,2,609644812,1674600632.46875
1,6, 16,474.466899930499,2,609648578,1674600636.23441
0,6, 16,628.408999935724,1,609652546,1674600640.19253
0,4, 0,499.15129999537,3,609656343,1674600643.98619
1,8, -16,1190.17030001525,3,609660703,1674600648.35857
0,4, 8,845.756799968891,3,609665921,1674600653.57312
0,6, 24,1189.76189993229,1,609670234,1674600657.8789
1,6, -16,630.125399966724,2,609674937,1674600662.59094
1,8, 24,566.092299934477,2,609679062,1674600666.711
0,4, -16,-109,1,609683390,1674600671.04693
1,4, 0,577.325399903581,3,609688328,1674600675.97182
0,8, -16,810.604599941522,3,609693078,1674600680.72255
1,8, -16,971.118699930608,1,609698093,1674600685.74545
1,6, 16,733.162400018424,1,609702828,1674600690.47202
1,8, 24,720.166400013492,2,609707828,1674600695.48473
0,4, -8,867.218199939467,3,609712531,1674600700.17804
0,6, 16,948.628199923784,3,609717406,1674600705.05672
0,6, 8,1172.20870003477,3,609722531,1674600710.17677
0,8, 24,613.753799986094,1,609727562,1674600715.20803
1,8, 16,1064.37570001837,3,609731640,1674600719.29288
0,6, -8,866.608000066131,3,609736625,1674600724.27477
0,6, -24,983.508799978532,1,609741296,1674600728.94935
0,8, -24,912.864300011657,3,609745593,1674600733.2358
1,4, 16,932.443500085734,3,609750015,1674600737.67279
420.69,-1,-1,10000,-1,609789234,1674600776.87683
420.69,8, 0,5000,4,609811109,1674600798.76069
420.69,8, 0,5000,5,609819609,1674600807.25951
420.69,8, 0,5000,6,609828312,1674600815.96384
0,4, 24,-109,6,609886093,1674600873.74212
0,8, 24,762.287000016309,6,609890781,1674600878.42851
1,8, 16,968.623500023037,6,609895812,1674600883.46353
1,4, 24,739.086300073192,4,609900796,1674600888.44666
1,8, 24,797.162999919616,4,609905875,1674600893.52476
1,6, -24,565.271599971689,5,609910796,1674600898.44761
1,8, -24,696.684700026177,4,609915265,1674600902.91276
1,6, -16,744.918200009502,4,609919671,1674600907.32827
1,8, 8,713.983199963346,6,609923750,1674600911.4004
1,6, 24,647.133300019428,4,609928593,1674600916.24369
1,6, -16,760.419299997389,5,609932671,1674600920.31394
0,4, 16,626.26290000882,6,609937156,1674600924.81123
1,4, -16,644.697099979036,4,609941593,1674600929.24803
1,4, -24,1018.61530000716,5,609946625,1674600934.28027
1,4, 16,678.196599994786,5,609951437,1674600939.09153
0,4, 16,-109,4,609956437,1674600944.09453
1,4, 0,498.236500014551,5,609961296,1674600948.9523
0,4, -8,668.961399988271,6,609965437,1674600953.0844
1,6, 0,504.274700008333,4,609969593,1674600957.24152
0,4, -16,883.224799934775,6,609973625,1674600961.27837
1,4, -8,667.949399965815,4,609978250,1674600965.90236
1,8, -16,792.391300023533,6,609982843,1674600970.49716
1,6, -8,552.171599989757,5,609987468,1674600975.12529
0,4, -16,685.099899940193,6,609991718,1674600979.36794
1,4, -24,690.358300049789,5,609996562,1674600984.21908
1,4, -8,568.683799993247,4,610001437,1674600989.08428
1,4, -24,562.82419996243,6,610005984,1674600993.63337
0,6, -24,824.590300031938,4,610010328,1674600997.97277
0,4, -16,832.253600060008,6,610014640,1674601002.28459
1,6, 24,655.379699947312,5,610018765,1674601006.42184
1,8, -8,459.130999919958,5,610023125,1674601010.76981
1,4, -8,577.979499994777,4,610027140,1674601014.79495
1,4, 16,787.729399915785,6,610031515,1674601019.15875
1,4, 24,582.719199996442,5,610036234,1674601023.89067
1,6, -24,559.148700031452,5,610040656,1674601028.30164
1,4, -16,705.224399975501,6,610045000,1674601032.64902
1,4, -16,700.990799985826,5,610049921,1674601037.56504
1,8, 16,740.437900003977,6,610054828,1674601042.47715
0,4, -16,675.310500021093,4,610059390,1674601047.03857
1,6, -8,463.552000056021,5,610063968,1674601051.61877
0,6, 16,887.712799998932,4,610068250,1674601055.89806
1,6, 8,673.154500018805,6,610072953,1674601060.60872
1,8, -8,647.522200070322,6,610077640,1674601065.29703
1,4, -16,648.439899956807,5,610082343,1674601069.99202
1,6, 16,614.993799998425,6,610086406,1674601074.06198
1,8, -16,618.020999998786,6,610090484,1674601078.13892
1,4, 8,517.87219993677,4,610095375,1674601083.03144
1,6, -8,654.827199931256,4,610099171,1674601086.82212
1,4, 24,653.797399889678,6,610103703,1674601091.35074
1,6, 0,474.802000037394,4,610108125,1674601095.77068
0,6, 24,872.306900037453,4,610112781,1674601100.42851
1,6, 24,675.67309998814,6,610117343,1674601104.99353
