Var1,Size (deg),Eccentricity (deg),Var3,Var4,Var5,Var6
420.69,-1,-1,10000,-1,92125609,1674592407.31887
420.69,8, 0,10000,1,92159250,1674592440.95107
420.69,8, 0,10000,2,92176906,1674592458.60883
420.69,8, 0,10000,3,92198906,1674592480.6021
1,4, -8,1150.2430000077,1,92266078,1674592547.78242
1,8, 0,969.225200006273,1,92270828,1674592552.52336
0,4, -24,-109,3,92275359,1674592557.0635
1,4, 8,717.340300001903,1,92280093,1674592561.79869
1,4, -24,722.20030000282,2,92284734,1674592566.43191
1,6, -16,568.462499996182,2,92289453,1674592571.16138
0,6, -24,837.284199992078,1,92293953,1674592575.65888
1,8, 8,890.194000003627,3,92298343,1674592580.0417
1,4, 16,720.53840000846,1,92303625,1674592585.3307
1,6, 8,771.752999990364,3,92308859,1674592590.5647
1,4, 24,839.684100003447,3,92313343,1674592595.0427
1,8, -8,562.349199998076,2,92318593,1674592600.2957
1,6, 16,1103.855699996,1,92322968,1674592604.6657
1,8, 16,703.256799996248,1,92328031,1674592609.7307
1,8, 8,592.385099993786,1,92332734,1674592614.4317
1,4, 0,519.400300003705,2,92337828,1674592619.5297
1,6, 24,994.835200003232,1,92342062,1674592623.7657
1,8, 24,715.981799989473,1,92347578,1674592629.27706
1,8, 24,641.15419999545,2,92352406,1674592634.11039
1,4, -24,855.481499991962,1,92357453,1674592639.15139
1,4, -8,642.486599998316,3,92362218,1674592643.91939
1,8, -16,669.610599998501,2,92366453,1674592648.16239
1,6, 24,932.675000000396,1,92370953,1674592652.65139
1,8, -24,677.247099997126,2,92376484,1674592658.19339
1,6, -24,685.696999990265,1,92381578,1674592663.27539
1,6, -8,693.488799992716,1,92386375,1674592668.08239
1,4, 16,675.637799995835,3,92390984,1674592672.68439
1,4, 24,659.982499997946,2,92395765,1674592677.47521
1,6, -24,862.236199999112,3,92400062,1674592681.76121
1,4, 0,693.178500001901,3,92404718,1674592686.42621
1,8, 8,546.057099997066,2,92410031,1674592691.73221
1,4, 8,797.392099990626,1,92414593,1674592696.29721
1,8, -16,671.54369999154,3,92420000,1674592701.70334
1,8, 0,552.769700003788,2,92424687,1674592706.39623
1,8, -8,565.507000003359,3,92429078,1674592710.77658
1,4, 8,710.223099999363,1,92434046,1674592715.75233
1,4, 24,855.909600006649,2,92438890,1674592720.58894
1,6, 8,606.665900002932,3,92443656,1674592725.35094
1,4, -24,814.846500008949,3,92448781,1674592730.47794
1,4, -16,647.722999998601,3,92453312,1674592735.01394
1,6, 0,574.135899991612,3,92458484,1674592740.18294
1,4, -16,589.349900005269,3,92463453,1674592745.15894
420.69,-1,-1,10000,-1,92503765,1674592785.47463
420.69,8, 0,5000,4,92529062,1674592810.75823
420.69,8, 0,5000,5,92537718,1674592819.41934
420.69,8, 0,5000,6,92545718,1674592827.42426
1,8, -16,712.509000001242,4,92606015,1674592887.71172
1,4, -8,684.215500001679,6,92610546,1674592892.24344
1,8, -16,718.407999997376,5,92614859,1674592896.5597
1,4, 0,590.206000004779,5,92619296,1674592900.9917
1,6, -8,617.205099999788,5,92624187,1674592905.89322
1,6, 0,635.123500000569,6,92628515,1674592910.21222
1,8, 16,740.557900000946,5,92633656,1674592915.36222
1,8, -24,720.811099989456,6,92638625,1674592920.33376
1,6, -24,677.472299994784,5,92643281,1674592924.98345
1,8, 0,731.651899998193,6,92647609,1674592929.3144
1,6, -8,636.571999999811,5,92652093,1674592933.79345
1,8, -24,724.771899997373,6,92656781,1674592938.48806
1,6, -16,765.225699997623,4,92661343,1674592943.04796
1,6, 0,507.176800001995,5,92665921,1674592947.62571
1,6, 8,647.886999995913,5,92671046,1674592952.74704
1,6, -16,604.595799999894,5,92675312,1674592957.02206
1,8, 16,549.789499997511,5,92679750,1674592961.44713
0,6, 16,791.473400004557,4,92684218,1674592965.92513
1,8, 24,739.801500003901,6,92688812,1674592970.52113
1,4, 16,938.624700004235,6,92693484,1674592975.18607
1,4, 8,816.13489999692,6,92698546,1674592980.25207
1,6, 16,745.528100011521,6,92703890,1674592985.58686
1,8, 8,778.867800003733,5,92708578,1674592990.27297
1,6, 16,746.160499995691,5,92713906,1674592995.61504
1,6, -24,857.156800001045,6,92718796,1674593000.49771
1,8, 0,632.06159999792,4,92723265,1674593004.97242
1,4, -16,976.426500008907,6,92727906,1674593009.61142
1,8, -24,665.599099997431,5,92732500,1674593014.20942
1,4, -8,647.49150001118,5,92737796,1674593019.49942
1,4, 0,681.856599996914,6,92742562,1674593024.26642
1,8, 24,655.686099995743,6,92747046,1674593028.75442
1,6, 0,774.962799998699,4,92752015,1674593033.72194
1,4, -16,626.020799998892,4,92756718,1674593038.42446
1,6, 24,779.0410999991,6,92761562,1674593043.26346
1,6, -16,585.746999986819,5,92766859,1674593048.5689
1,6, 16,805.438799998607,6,92771968,1674593053.67651
1,4, -24,678.542699996266,5,92776593,1674593058.29851
1,8, -8,702.259200010682,6,92781578,1674593063.28269
1,4, 16,701.886000006576,4,92785984,1674593067.69251
1,4, 24,823.670700000017,4,92791203,1674593072.90515
1,8, 16,653.036800006172,5,92795640,1674593077.34497
