Var1,Size (deg),Eccentricity (deg),Var3,Var4,Var5,Var6
420.69,-1,-1,10000,-1,95118015,1674595399.71771
420.69,8, 0,10000,1,95136703,1674595418.40484
420.69,8, 0,10000,2,95150296,1674595431.99284
420.69,8, 0,10000,3,95163859,1674595445.55884
1,4, 24,594.029800002696,2,95229843,1674595511.55294
1,8, 0,585.046399992658,3,95234968,1674595516.66323
1,4, -8,692.913299990701,1,95239156,1674595520.85262
1,4, -24,919.711799997836,2,95243953,1674595525.65141
1,6, 8,507.211699991254,2,95248687,1674595530.38231
0,4, 8,811.913200010546,1,95253187,1674595534.88631
0,4, -16,683.59369999636,3,95257984,1674595539.69331
1,8, -8,577.830100006773,2,95263031,1674595544.72706
1,8, 24,599.342700003413,3,95268000,1674595549.70506
1,6, -24,755.89110000548,3,95273218,1674595554.91621
1,6, -8,612.965700009605,3,95278218,1674595559.92021
0,4, 8,847.694299995434,3,95282546,1674595564.24121
1,4, -16,655.096099999733,2,95287578,1674595569.28221
1,6, 0,643.669299996342,3,95292562,1674595574.26021
1,6, 16,602.439399994561,1,95297203,1674595578.90925
1,8, 8,517.919999995152,2,95302031,1674595583.72773
0,6, 0,653.647600000491,1,95306265,1674595587.97032
0,4, -16,712.781599996029,1,95310468,1674595592.17432
1,6, -16,614.448499993538,2,95315515,1674595597.22426
1,8, -16,594.394299998763,1,95319875,1674595601.57126
1,4, 24,719.618799991091,2,95324984,1674595606.68577
0,8, -24,718.834399999119,3,95329921,1674595611.6233
0,6, -16,906.526099989074,1,95334343,1674595616.0513
1,8, -16,617.650600001449,2,95339250,1674595620.94832
0,4, -24,849.649299995159,3,95344062,1674595625.76927
1,8, -16,755.152599999215,1,95349359,1674595631.05826
1,4, -24,694.677499992773,2,95354312,1674595636.01427
1,8, 8,949.183300003293,1,95359109,1674595640.81727
1,6, 8,724.442199989804,1,95363687,1674595645.39227
1,6, -24,738.228499987978,3,95368343,1674595650.0503
1,4, 16,713.707999992417,1,95373296,1674595655.00231
1,8, -8,579.152899994748,3,95378406,1674595660.1143
1,4, 0,622.240900000557,3,95383125,1674595664.8223
1,4, 16,714.350499995286,2,95388359,1674595670.0583
1,6, -8,604.208999994094,3,95393000,1674595674.6953
1,8, 16,793.088600007119,2,95397406,1674595679.11492
0,4, 24,705.893799994024,1,95402015,1674595683.72223
0,4, -24,810.6898000082,3,95406828,1674595688.53023
1,8, 8,602.675499987905,2,95412031,1674595693.73723
1,6, -16,711.02180001291,1,95416953,1674595698.65023
1,4, -16,769.888200008078,1,95421375,1674595703.08123
1,8, -24,669.252699994482,2,95426562,1674595708.26923
1,4, -16,817.766599994153,3,95430859,1674595712.56123
1,4, 8,698.795000000624,3,95436187,1674595717.88723
1,6, -24,768.935199998319,2,95440562,1674595722.25723
1,6, -8,606.99920000881,1,95445234,1674595726.93823
0,8, 24,681.729000000283,1,95450453,1674595732.15923
1,8, -24,695.849899999681,2,95455093,1674595736.80124
1,4, 8,943.561199991032,3,95460203,1674595741.90723
1,6, 8,826.01760000072,3,95465671,1674595747.36823
1,6, 24,544.646999999182,3,95470609,1674595752.31223
420.69,-1,-1,10000,-1,95508328,1674595790.03696
420.69,8, 0,5000,4,95526484,1674595808.18456
420.69,8, 0,5000,5,95535109,1674595816.81756
420.69,8, 0,5000,6,95543734,1674595825.43156
1,4, 0,797.626999989385,4,95602843,1674595884.55208
1,8, 24,645.464600002393,5,95607406,1674595889.10308
1,6, 24,665.399700007052,6,95611984,1674595893.69116
1,6, -16,599.411700004945,5,95616687,1674595898.38536
1,4, -8,659.510299996706,5,95620921,1674595902.62536
1,8, 0,751.37639999995,6,95626031,1674595907.73239
1,6, 16,850.677999999258,6,95631125,1674595912.83252
1,8, -16,685.812099993578,5,95635828,1674595917.5324
1,6, 0,608.215099997702,6,95641156,1674595922.85141
0,4, -8,853.991200009128,6,95645703,1674595927.41195
1,4, 24,934.164599992451,6,95650484,1674595932.18795
1,4, 0,604.24199999799,5,95655750,1674595937.45325
