Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,77532656,1677184770.9720168
420.69,8,0,10000,2,77545562,1677184783.8736057
420.69,8,0,10000,3,77558187,1677184796.4986053
1,2,30,440.8978999967221,3,77619140,1677184857.4479923
1,2,-15,456.5986999918241,3,77623765,1677184862.071994
1,4,-30,601.4932000074768,2,77627984,1677184866.2949922
1,8,30,576.2002000086941,1,77631968,1677184870.2721286
1,2,-30,655.0562000015052,2,77636109,1677184874.416129
1,2,15,525.1411000030348,1,77640234,1677184878.547384
1,4,0,489.94540000823326,1,77644109,1677184882.4170492
1,8,0,636.7205000100657,3,77648625,1677184886.934142
1,8,-30,590.0956000081496,2,77653593,1677184891.9011393
1,4,-15,646.9449999971548,2,77658203,1677184896.5161924
1,8,15,509.4724000049755,1,77662390,1677184900.693013
1,2,15,500.46989999501966,1,77667031,1677184905.3340154
1,2,-15,704.2713000086369,3,77671734,1677184910.0420144
1,4,0,561.5443000100786,2,77676562,1677184914.8760822
1,4,-30,577.9253000040771,2,77681093,1677184919.405084
1,4,30,737.8501000024844,3,77685562,1677184923.8690825
1,4,0,530.2690999928163,3,77690171,1677184928.4830825
1,2,-30,500.05060000368394,3,77694781,1677184933.0971923
1,4,-15,618.4623999983305,2,77699468,1677184937.7718878
1,4,15,503.30300000170246,1,77703828,1677184942.1438868
1,2,15,589.9400000020396,3,77708562,1677184946.8748865
1,2,0,500.7163999947952,3,77712968,1677184951.2838867
1,2,0,608.7272999979323,2,77717296,1677184955.6078873
1,8,-15,625.2103000119096,2,77721328,1677184959.6428874
1,8,0,465.00849999976344,1,77725531,1677184963.835888
1,4,15,535.1847000096459,3,77729875,1677184968.181888
1,8,30,486.2129000070272,1,77734671,1677184972.9828877
1,2,-30,636.5666000023484,3,77738531,1677184976.8478885
1,8,15,482.10489999875426,3,77743156,1677184981.4658892
1,4,15,524.3115000015823,2,77747984,1677184986.298889
420.69,8,0,5000.0,4,77785703,1677185024.0173285
420.69,8,0,5000.0,5,77793578,1677185031.8833284
420.69,8,0,5000.0,6,77801078,1677185039.3833947
1,8,-15,454.9240000018617,5,77858750,1677185097.0561159
1,2,-15,527.111300002085,4,77862890,1677185101.1929657
1,8,-30,532.3636999932351,5,77867578,1677185105.8919678
1,8,-15,551.467299996526,5,77872484,1677185110.7909675
1,4,30,850.1089999885298,6,77876718,1677185115.0219653
1,8,0,526.6219000008423,5,77881031,1677185119.3449662
1,4,30,683.2986000048695,5,77884937,1677185123.2446961
1,8,-30,511.05139999382664,4,77889359,1677185127.6676958
1,8,0,674.6090000055265,6,77893593,1677185131.9036963
1,4,-15,651.3775000025053,4,77897796,1677185136.1112118
1,2,15,651.1021000009496,6,77902171,1677185140.4872127
1,2,0,480.57829998689704,4,77906671,1677185144.9772148
1,2,30,614.9284999959636,4,77911484,1677185149.7952123
1,4,-15,468.18219999514986,4,77915421,1677185153.7359781
1,8,15,672.8518999993103,5,77919562,1677185157.8769774
1,4,-30,669.656399997999,5,77923703,1677185162.0118427
1,4,-30,527.7245000001276,5,77928500,1677185166.810051
1,2,0,633.1969999995781,6,77932671,1677185170.976051
1,8,30,576.9054999949876,6,77936625,1677185174.9281354
1,4,0,544.6983999976655,5,77940625,1677185178.927961
1,8,15,670.0565000032075,6,77945078,1677185183.3949609
1,4,30,737.9973000028403,6,77949171,1677185187.487115
1,2,30,757.3957999960985,4,77953234,1677185191.547124
1,8,-15,783.7610999962781,6,77957421,1677185195.7286332
1,4,15,571.7068999914918,4,77961625,1677185199.9346347
1,2,-15,666.0605999899562,5,77965671,1677185203.9866335
1,8,-30,710.2446000030031,5,77970515,1677185208.830633
1,8,30,554.2370000006631,4,77974578,1677185212.8936327
1,2,-30,622.6582000057679,4,77978859,1677185217.1766336
1,2,30,512.6062000021338,4,77983203,1677185221.5186334
