Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,425522031,1677532754.4544446
420.69,8,0,10000,2,425536187,1677532768.6194444
420.69,8,0,10000,3,425548687,1677532781.1184464
1,4,30,736.2397999935783,3,425609140,1677532841.5652964
1,2,0,535.565699971281,2,425613843,1677532846.272297
1,2,30,517.3753999955952,3,425618562,1677532850.9862967
1,4,-30,518.1421000128612,3,425623250,1677532855.6732962
1,2,15,544.859999962151,2,425628031,1677532860.4598002
1,4,0,487.55539999948815,2,425632750,1677532865.1838
0,4,15,402.35049998993054,3,425636718,1677532869.1487994
1,8,15,627.5707999560982,3,425641109,1677532873.5387998
1,4,30,781.1990999584086,2,425645703,1677532878.1367998
1,4,-15,805.3705000169575,3,425649921,1677532882.3558018
1,2,-15,429.0812999792397,1,425654359,1677532886.7887995
1,4,15,707.7009999742731,2,425658609,1677532891.0458014
1,8,30,593.431500016246,3,425662750,1677532895.1727996
1,2,-30,913.3387000150979,2,425666921,1677532899.3480732
1,2,30,609.5214000055566,2,425671609,1677532904.0359168
1,8,30,478.0489999651909,2,425676203,1677532908.6289048
1,8,30,493.47480001999065,1,425680359,1677532912.7909045
1,4,0,534.4117999742739,3,425684328,1677532916.7589052
1,8,-15,746.4707000148483,3,425688625,1677532921.053903
1,2,0,559.8613999867812,1,425693703,1677532926.1279051
1,4,15,435.5952999871224,1,425697578,1677532930.0129037
1,8,15,455.9934000102803,3,425701843,1677532934.279837
1,4,-15,690.6774999774061,1,425705640,1677532938.0680726
1,2,-15,808.9762999992818,3,425710156,1677532942.5870724
1,8,0,662.5667000156827,2,425715156,1677532947.589072
1,2,-30,615.6910000103526,2,425719890,1677532952.3240564
1,8,-30,699.2991000264883,3,425724781,1677532957.2170568
1,2,15,568.5585999712348,3,425729656,1677532962.0900567
1,4,-30,662.8331000069156,2,425734078,1677532966.512057
1,8,-15,486.96780000720173,2,425738875,1677532971.3040576
1,8,-30,618.9723000247031,3,425743593,1677532976.0190568
420.69,8,0,5000.0,4,425781734,1677533014.1710582
420.69,8,0,5000.0,5,425789671,1677533022.104057
420.69,8,0,5000.0,6,425797140,1677533029.5710576
1,8,15,507.99080001562834,6,425854703,1677533087.1307478
1,4,-30,542.9076999975368,6,425858687,1677533091.1196744
1,2,0,763.9757000110112,5,425863015,1677533095.4426758
1,4,0,605.6183000295423,6,425867343,1677533099.77619
1,2,-30,585.7418000199832,6,425871328,1677533103.7521908
1,2,0,440.0023999591358,5,425875437,1677533107.865191
1,2,-30,576.5061000096612,6,425880093,1677533112.5269926
1,8,-15,463.74449995020404,4,425885015,1677533117.450047
0,2,30,544.3617999521084,5,425889218,1677533121.6490588
1,8,30,657.1026000278071,6,425892984,1677533125.416415
1,2,30,624.2035999861546,6,425897375,1677533129.8084247
1,8,-30,653.1372999856248,6,425901531,1677533133.9638546
1,4,-15,496.268299987074,4,425905812,1677533138.2398539
1,8,-30,614.2977999956347,6,425909828,1677533142.2628534
1,8,0,662.2382000172511,6,425914609,1677533147.0468538
0,2,30,584.3087999932468,5,425919656,1677533152.0898538
1,4,0,472.2949000392109,5,425923875,1677533156.3078556
1,8,0,376.14910001540557,5,425928218,1677533160.6518543
1,4,15,627.0535999760032,6,425932265,1677533164.6978528
1,2,30,638.5378999952227,6,425937250,1677533169.672853
1,4,15,542.6980999731459,5,425941609,1677533174.0403373
1,8,15,524.179199998267,5,425946078,1677533178.5073376
1,2,15,531.331199974753,5,425950734,1677533183.1633384
1,8,-15,740.8548999777995,6,425954890,1677533187.3223388
1,8,0,517.4362999936566,4,425959765,1677533192.198338
1,2,-15,894.1039000023156,6,425964171,1677533196.5963387
1,4,30,684.0500999791548,5,425969140,1677533201.566162
1,2,15,553.2675000107847,4,425973812,1677533206.2418952
1,4,30,774.9435999980196,5,425977968,1677533210.39483
1,4,-30,548.2637000354007,6,425982515,1677533214.9509125
1,4,-15,544.1496000243351,6,425987421,1677533219.8539114
1,2,-15,583.8162999683991,5,425992000,1677533224.429911
