Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,506712250,1677104815.2675028
420.69,8,0,10000,2,506728156,1677104831.1765366
420.69,8,0,10000,3,506740796,1677104843.809538
1,2,15,475.3218000372872,3,506803281,1677104906.2945926
1,2,-15,470.24849999835715,2,506807625,1677104910.6345928
1,2,-30,713.2152999951504,2,506811875,1677104914.8867457
1,8,30,671.3421000135131,3,506816843,1677104919.8657446
1,2,-15,626.7924999669194,2,506820890,1677104923.9097457
1,2,15,497.03480000281706,1,506825500,1677104928.519744
1,8,30,581.558600006625,2,506829484,1677104932.497745
1,4,15,384.7242999440059,2,506833921,1677104936.938766
1,8,0,421.0857000402175,1,506838437,1677104941.4537656
1,2,-30,572.37140001636,3,506843250,1677104946.2631888
1,8,15,560.4251999724656,3,506848125,1677104951.1392004
1,2,30,417.66589996078983,3,506852046,1677104955.05419
1,4,30,521.404900002759,1,506856343,1677104959.3659146
0,2,0,441.1488000154495,2,506860234,1677104963.253922
1,4,15,406.30860003549606,1,506864734,1677104967.7518506
1,4,30,413.7446000208147,2,506868828,1677104971.8417735
1,4,-15,437.6069999965839,2,506873015,1677104976.032776
1,4,-15,516.8621000451967,1,506877031,1677104980.0407765
1,8,-15,472.27650001551956,2,506881312,1677104984.3217745
1,2,30,735.9668000102974,3,506886109,1677104989.1297753
1,4,30,462.1388000054285,3,506890390,1677104993.4037743
1,4,0,460.9025999638252,2,506894484,1677104997.4927742
1,4,-30,395.5509999617934,2,506898468,1677105001.4852877
1,8,15,431.33869999693707,3,506903000,1677105006.013287
1,4,0,447.7505999933928,3,506907500,1677105010.518289
1,4,-30,469.5724999732338,3,506912140,1677105015.1502888
1,8,30,428.9287000396289,3,506916187,1677105019.2072895
1,2,0,406.60590002918616,2,506920500,1677105023.5186915
1,2,30,617.7295000492595,1,506924765,1677105027.784163
0,4,-15,489.0126999784261,2,506928734,1677105031.7431626
1,8,15,410.15599999483675,1,506932921,1677105035.941858
1,4,-30,730.8646999849007,2,506937265,1677105040.276858
420.69,8,0,5000.0,4,506974812,1677105077.82027
420.69,8,0,5000.0,5,506985265,1677105088.2862692
420.69,8,0,5000.0,6,506992234,1677105095.2532687
1,4,-30,541.1578000024892,6,507048562,1677105151.570158
1,2,0,408.00539997546,5,507053171,1677105156.1918278
1,4,15,477.27500000875443,4,507057546,1677105160.5692203
1,8,-30,488.06260001985356,5,507061718,1677105164.7362192
1,4,-15,426.72690003784373,6,507065593,1677105168.6052198
1,8,30,405.9554000236094,6,507069500,1677105172.5141861
1,4,30,464.0492000002414,5,507073484,1677105176.5031867
1,4,0,540.6813999838196,6,507078125,1677105181.1471868
1,4,15,476.0217000115663,4,507082171,1677105185.1801858
1,8,-30,435.9157999828458,4,507087015,1677105190.0351853
1,8,0,487.10679995967075,5,507091203,1677105194.2191875
1,2,0,517.8361000111327,5,507095312,1677105198.3321862
1,2,0,460.7072999901138,4,507099171,1677105202.1815171
1,4,-15,449.3803000045009,5,507103343,1677105206.3655174
1,8,0,283.46150001417845,6,507107375,1677105210.394518
1,8,15,562.3405000045896,4,507111015,1677105214.023517
1,2,15,533.3412000294775,5,507115593,1677105218.6105165
1,8,0,469.3642999595031,5,507120171,1677105223.1805184
1,8,-15,578.5056000426412,5,507124265,1677105227.2771962
1,2,30,491.09869997156784,5,507128578,1677105231.5901968
1,8,-15,435.3430999876,6,507133000,1677105236.0131974
1,2,-30,922.9071999983862,6,507136765,1677105239.7821968
1,8,-30,405.93820000905544,4,507141921,1677105244.9311965
1,8,-15,535.8664999916218,6,507146250,1677105249.2641978
1,2,15,449.5941000026651,4,507150093,1677105253.1151967
1,4,0,398.68759998027235,6,507154437,1677105257.4451957
1,2,-30,540.4016000069678,6,507158406,1677105261.424588
1,2,-15,527.6129999514669,6,507162421,1677105265.4445887
1,8,-30,456.6827999628149,4,507166812,1677105269.8225882
1,2,-15,366.853800016921,4,507170890,1677105273.9125888
