Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,0,10000,1,4290796,1677713452.1023638
420.69,8,0,10000,2,4304281,1677713465.586454
420.69,8,0,10000,3,4323343,1677713484.6488817
1,2,0,566.244300000486,2,4393921,1677713555.229237
1,4,-30,791.209200000063,3,4398437,1677713559.748921
1,2,-30,593.4440000004688,2,4403687,1677713564.9949203
1,2,-15,849.767799999805,1,4408218,1677713569.535935
1,8,-30,621.6707999996434,3,4412921,1677713574.235662
1,4,-15,677.768299999494,1,4417328,1677713578.6407626
1,2,15,521.6474000002709,2,4422156,1677713583.4597104
1,4,30,860.3305000000692,3,4426875,1677713588.1787817
1,8,0,545.8581999995804,2,4431421,1677713592.7387815
1,8,-15,599.216099999845,2,4436390,1677713597.7017481
0,4,15,583.6004000006287,3,4440500,1677713601.8047113
1,2,0,653.8811000004134,3,4444765,1677713606.0747182
1,2,-30,810.6054000003642,1,4449484,1677713610.790837
1,8,30,654.3299999997689,3,4454328,1677713615.6441574
1,2,15,892.4403999994101,3,4458437,1677713619.748574
1,8,0,609.005799999446,3,4463796,1677713625.1046019
1,2,0,528.4206000000413,2,4468046,1677713629.3605874
1,8,15,552.5501000005679,3,4472828,1677713634.1315868
1,2,30,740.400400000377,3,4477093,1677713638.400587
1,4,-30,682.9904000000315,2,4481437,1677713642.745586
1,8,15,624.8209999998071,1,4485828,1677713647.1305869
1,2,30,892.6103999996631,1,4490750,1677713652.0634775
1,8,-30,540.8274999994464,2,4495171,1677713656.4744759
1,8,0,515.0465000000768,3,4499578,1677713660.8854756
1,2,-30,697.7257000002428,1,4504437,1677713665.7504752
1,8,-30,569.9134999999078,1,4509593,1677713670.900061
1,2,-15,642.8933999999717,2,4514500,1677713675.8081517
1,4,15,595.6589999999924,2,4519203,1677713680.511154
1,4,15,681.7594999996945,1,4523312,1677713684.6157753
1,2,15,540.2105999996056,2,4527890,1677713689.2057755
1,4,30,868.4600999999166,3,4532546,1677713693.8617878
420.69,8,0,5000.0,4,4570968,1677713732.2848494
420.69,8,0,5000.0,5,4580765,1677713742.0818496
420.69,8,0,5000.0,6,4590609,1677713751.9138496
1,4,0,502.67870000008406,5,4653218,1677713814.5323617
1,2,-15,651.781599999973,5,4658078,1677713819.3903615
1,4,0,640.1560999997091,4,4662781,1677713824.098361
1,2,-15,694.062800000589,4,4667000,1677713828.3083625
1,8,0,524.4144000002198,6,4672046,1677713833.3520725
1,8,-15,516.375399999939,5,4676171,1677713837.4815843
1,8,-30,674.3586999995532,6,4680984,1677713842.2966015
1,8,15,567.6553999996177,5,4685484,1677713846.7885983
0,4,0,446.03479999970295,6,4689562,1677713850.8715963
1,2,0,666.1435000000129,4,4693593,1677713854.906597
1,4,30,728.4211999998806,4,4697765,1677713859.083597
1,4,-15,590.132699999609,5,4702218,1677713863.5225968
1,4,0,619.2353999999032,4,4706968,1677713868.285597
1,4,-30,703.7942999999505,6,4711359,1677713872.6724317
1,4,15,541.9470000000874,5,4716312,1677713877.6184313
1,4,0,635.611399999485,6,4720281,1677713881.5991356
1,4,30,583.6077999996778,5,4724828,1677713886.1404526
1,8,30,616.0051000000894,6,4729625,1677713890.9294534
1,4,-15,625.0439999998125,5,4733953,1677713895.2644544
1,8,15,1065.32590000044,6,4738484,1677713899.7944522
1,4,15,1170.1740000002392,5,4742921,1677713904.232452
1,2,30,862.0074999993594,6,4747843,1677713909.1604528
1,8,-15,737.4374999994106,4,4752484,1677713913.7934523
1,2,15,706.5102000000625,4,4757218,1677713918.5346699
1,2,-30,973.3355000002266,6,4761859,1677713923.1636705
1,8,30,677.0821000003853,6,4766531,1677713927.8486717
1,4,-15,670.6844999993482,4,4771125,1677713932.4326699
1,8,30,778.1714999995675,4,4775703,1677713937.007487
1,4,-30,719.1065999999555,5,4780375,1677713941.6904986
1,2,30,874.485899999323,4,4785312,1677713946.6280496
1,8,-15,545.7691000005216,5,4789890,1677713951.2080505
